Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_lths,dy_lths,var_lths,se_lths,cv_lths,se2_lths,moe_lths,sample_hs,dy_hs,var_hs,se_hs,cv_hs,se2_hs,moe_hs,sample_sc,dy_sc,var_sc,se_sc,cv_sc,se2_sc,moe_sc,S_lths,S_hs,S_sc,MOE_Slths,MOE_Shs,MOE_Ssc
0,_US total,16-19," 19,771 ",784008.30555,62389273.41800,7898.68808,0.01007,62389273.41800,12993.34190,8308.00000,325256.29118,21322547.48900,4617.63440,0.01420,21322547.48900,7596.00859,10097.00000,403151.50638,26779414.67200,5174.88306,0.01284,26779414.67200,8512.68263,1366.00000,55600.50800,3990684.27920,1997.66971,0.03593,3990684.27920,3286.16668,0.41486,0.51422,0.07092,0.00683,0.00673,0.00402
0,_US total,20-24," 50,398 ",2243041.19990,143872271.20000,11994.67679,0.00535,143872271.20000,19731.24331,15046.00000,675526.55233,52479611.88100,7244.28132,0.01072,52479611.88100,11916.84278,25255.00000,1119702.65220,62715121.06900,7919.28791,0.00707,62715121.06900,13027.22862,10097.00000,447811.99531,30224935.85500,5497.72097,0.01228,30224935.85500,9043.75099,0.30117,0.49919,0.19965,0.00461,0.00380,0.00363
10420,"Akron, OH",16-19, 29 ,1546.68329,126928.50726,356.27027,0.23034,126928.50726,586.06460,6.00000,381.34885,32127.00701,179.24008,0.47002,32127.00701,294.84993,21.00000,1046.00837,89249.47153,298.74650,0.28561,89249.47153,491.43799,,,,,,,,0.24656,0.67629,,0.16617,0.18785,
10420,"Akron, OH",20-24, 85 ,4025.36815,203697.12891,451.32818,0.11212,203697.12891,742.43486,22.00000,881.74805,59618.72706,244.16946,0.27692,59618.72706,401.65877,50.00000,2666.68677,173875.23882,416.98350,0.15637,173875.23882,685.93786,13.00000,476.93334,19515.52319,139.69797,0.29291,19515.52319,229.80316,0.21905,0.66247,0.11848,0.09124,0.11878,0.05274
10580,"Albany-Schenectady-Troy, NY",16-19, 34 ,1996.64544,128234.39557,358.09830,0.17935,128234.39557,589.07171,15.00000,897.51811,49590.85347,222.69004,0.24812,49590.85347,366.32511,17.00000,941.07447,83969.21512,289.77442,0.30792,83969.21512,476.67892,,,,,,,,0.44951,0.47133,,0.12678,0.19406,
10580,"Albany-Schenectady-Troy, NY",20-24, 68 ,3470.32844,274771.20994,524.18624,0.15105,274771.20994,862.28636,21.00000,1423.79564,130421.34095,361.13895,0.25365,130421.34095,594.07357,27.00000,1134.42630,68776.61876,262.25297,0.23118,68776.61876,431.40613,20.00000,912.10650,60358.48002,245.67963,0.26935,60358.48002,404.14299,0.41028,0.32689,0.26283,0.13752,0.09411,0.09642
10740,"Albuquerque, NM",16-19, 71 ,2784.99747,176279.47368,419.85649,0.15076,176279.47368,690.66393,40.00000,1694.26777,102624.69421,320.35089,0.18908,102624.69421,526.97722,28.00000,935.80579,55920.10382,236.47432,0.25270,55920.10382,389.00026,,,,,,,,0.60836,0.33602,,0.11421,0.11210,
10740,"Albuquerque, NM",20-24, 163 ,7696.57729,466656.11176,683.12233,0.08876,466656.11176,1123.73623,53.00000,2927.29366,181265.44085,425.75279,0.14544,181265.44085,700.36334,66.00000,2491.89764,206831.61526,454.78744,0.18251,206831.61526,748.12534,44.00000,2277.38599,120265.13095,346.79263,0.15228,120265.13095,570.47388,0.38034,0.32377,0.29590,0.07209,0.08493,0.06023
10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19, 32 ,1860.14131,194733.85908,441.28660,0.23723,194733.85908,725.91645,13.00000,784.44130,86794.90692,294.60975,0.37557,86794.90692,484.63304,17.00000,841.12215,42048.59578,205.05754,0.24379,42048.59578,337.31966,,,,,,,,0.42171,0.45218,,0.20198,0.04178,
10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24, 81 ,4241.87302,377261.67264,614.21631,0.14480,377261.67264,1010.38583,24.00000,1305.07651,113382.23817,336.72279,0.25801,113382.23817,553.90899,35.00000,1912.66670,158086.83340,397.60135,0.20788,158086.83340,654.05422,22.00000,1024.12981,63641.27298,252.27222,0.24633,63641.27298,414.98780,0.30767,0.45090,0.24143,0.10808,0.11063,0.07914
