Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_fb,dy_fb,var_fb,se_fb,cv_fb,se2_fb,moe_fb,sample_nb,dy_nb,var_nb,se_nb,cv_nb,se2_nb,moe_nb,S_FB,S_NB,MOE_Sfb,MOE_Snb
0,_US total,16-19," 19,771 ",784008.30555,62389273.41800,7898.68808,0.01007,62389273.41800,12993.34190,1920.00000,87417.68647,5035483.06110,2243.98820,0.02567,5035483.06110,3691.36060,17851.00000,696590.61909,56002848.77800,7483.50511,0.01074,56002848.77800,12310.36591,0.11150,0.88850,0.00433,0.00545
0,_US total,20-24," 50,398 ",2243041.19990,143872271.20000,11994.67679,0.00535,143872271.20000,19731.24331,5606.00000,278249.66101,19176645.37300,4379.11468,0.01574,19176645.37300,7203.64365,44792.00000,1964791.53890,114157276.55000,10684.44086,0.00544,114157276.55000,17575.90522,0.12405,0.87595,0.00302,0.00142
10420,"Akron, OH",16-19, 29 ,1546.68329,126928.50726,356.27027,0.23034,126928.50726,586.06460,,,,,,,,28.00000,1377.34996,106221.81384,325.91688,0.23663,106221.81384,536.13327,,0.89052,,0.07934
10420,"Akron, OH",20-24, 85 ,4025.36815,203697.12891,451.32818,0.11212,203697.12891,742.43486,8.00000,342.06054,19286.70913,138.87660,0.40600,19286.70913,228.45200,77.00000,3683.30762,211187.58283,459.55150,0.12477,211187.58283,755.96222,0.08498,0.91502,0.05455,0.08238
10580,"Albany-Schenectady-Troy, NY",16-19, 34 ,1996.64544,128234.39557,358.09830,0.17935,128234.39557,589.07171,7.00000,496.54476,33913.59611,184.15644,0.37088,33913.59611,302.93735,27.00000,1500.10068,106526.22611,326.38356,0.21757,106526.22611,536.90095,0.24869,0.75131,0.13280,0.15223
10580,"Albany-Schenectady-Troy, NY",20-24, 68 ,3470.32844,274771.20994,524.18624,0.15105,274771.20994,862.28636,6.00000,614.66473,81061.17703,284.71245,0.46320,81061.17703,468.35197,62.00000,2855.66371,191350.60769,437.43640,0.15318,191350.60769,719.58288,0.17712,0.82288,0.12758,0.03449
10740,"Albuquerque, NM",16-19, 71 ,2784.99747,176279.47368,419.85649,0.15076,176279.47368,690.66393,5.00000,301.60928,19168.53497,138.45048,0.45904,19168.53497,227.75104,66.00000,2483.38819,160807.45044,401.00804,0.16148,160807.45044,659.65823,0.10830,0.89170,0.07724,0.08486
10740,"Albuquerque, NM",20-24, 163 ,7696.57729,466656.11176,683.12233,0.08876,466656.11176,1123.73623,17.00000,852.05960,46353.45899,215.29853,0.25268,46353.45899,354.16609,146.00000,6844.51769,458486.48495,677.11630,0.09893,458486.48495,1113.85632,0.11071,0.88929,0.04308,0.06392
10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19, 32 ,1860.14131,194733.85908,441.28660,0.23723,194733.85908,725.91645,,,,,,,,31.00000,1772.93047,181376.18405,425.88283,0.24021,181376.18405,700.57725,,0.95312,,0.05915
10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24, 81 ,4241.87302,377261.67264,614.21631,0.14480,377261.67264,1010.38583,,,,,,,,77.00000,4085.01506,361575.96382,601.31187,0.14720,361575.96382,989.15802,,0.96302,,0.04195
12060,"Atlanta-Sandy Springs-Roswell, GA",16-19, 310 ,14194.81523,753296.39954,867.92649,0.06114,753296.39954,1427.73908,29.00000,1278.46707,62534.90324,250.06980,0.19560,62534.90324,411.36482,281.00000,12916.34817,649230.65841,805.74851,0.06238,649230.65841,1325.45630,0.09007,0.90993,0.02753,0.01851
12060,"Atlanta-Sandy Springs-Roswell, GA",20-24, 721 ,38685.38067,2448994.69360,1564.92642,0.04045,2448994.69360,2574.30396,94.00000,5464.40562,427781.17489,654.04983,0.11969,427781.17489,1075.91196,627.00000,33220.97505,1946830.46350,1395.28867,0.04200,1946830.46350,2295.24986,0.14125,0.85875,0.02618,0.01596
12260,"Augusta-Richmond County, GA-SC",16-19, 46 ,2145.55062,114519.39543,338.40714,0.15773,114519.39543,556.67975,,,,,,,,46.00000,2145.55062,114519.39543,338.40714,0.15773,114519.39543,556.67975,,1.00000,,0.00000
12260,"Augusta-Richmond County, GA-SC",20-24, 97 ,4473.16171,315403.32531,561.60780,0.12555,315403.32531,923.84484,,,,,,,,95.00000,4411.04598,298674.26034,546.51099,0.12390,298674.26034,899.01058,,0.98611,,0.28613
12420,"Austin-Round Rock, TX",16-19, 84 ,3908.88232,242842.84241,492.79087,0.12607,242842.84241,810.64098,17.00000,830.88909,36082.60675,189.95422,0.22862,36082.60675,312.47470,67.00000,3077.99323,193208.38659,439.55476,0.14281,193208.38659,723.06758,0.21256,0.78744,0.06669,0.08689
12420,"Austin-Round Rock, TX",20-24, 201 ,9206.14193,601975.59684,775.87086,0.08428,601975.59684,1276.30757,47.00000,2347.87428,244839.36772,494.81246,0.21075,244839.36772,813.96649,154.00000,6858.26764,437049.39970,661.09712,0.09639,437049.39970,1087.50476,0.25503,0.74497,0.08104,0.05734
12540,"Bakersfield, CA",16-19, 83 ,3823.75159,239405.62608,489.29094,0.12796,239405.62608,804.88360,13.00000,515.29357,29148.04145,170.72798,0.33132,29148.04145,280.84752,70.00000,3308.45802,238096.12278,487.95094,0.14749,238096.12278,802.67930,0.13476,0.86524,0.06775,0.10438
12540,"Bakersfield, CA",20-24, 242 ,11727.74824,462813.06340,680.30366,0.05801,462813.06340,1119.09951,38.00000,1523.96810,97774.70432,312.68947,0.20518,97774.70432,514.37418,204.00000,10203.78014,538038.44758,733.51104,0.07189,538038.44758,1206.62566,0.12995,0.87005,0.04207,0.06077
12580,"Baltimore-Columbia-Towson, MD",16-19, 114 ,5319.98931,406294.00521,637.41196,0.11981,406294.00521,1048.54267,11.00000,764.21755,72896.74865,269.99398,0.35329,72896.74865,444.14010,103.00000,4555.77176,336275.40623,579.89258,0.12729,336275.40623,953.92330,0.14365,0.85635,0.07854,0.06053
