Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_w,dy_white,var_w,se_w,cv_w,se2_w,moe_w,sample_b,dy_black,var_b,se_b,cv_b,se2_b,moe_b,sample_l,dy_latino,var_l,se_l,cv_l,se2_l,moe_l,sample_a,dy_asian,var_a,se_a,cv_a,se2_a,moe_a,sample_o,dy_other,var_o,se_o,cv_o,se2_o,moe_o,S_White,S_Black,S_Latino,S_Asian,S_Other,MOE_Swhite,MOE_Sblack,MOE_Slatino,MOE_Sasian,MOE_Sother
0,_US total,16-19," 19,771 ",784008.30555,62389273.41800,7898.68808,0.01007,62389273.41800,12993.34190,8446.00000,292073.81542,20188497.90300,4493.16124,0.01538,20188497.90300,7391.25024,4038.00000,188516.75662,15516936.48100,3939.15429,0.02090,15516936.48100,6479.90880,5500.00000,245838.70279,15554173.40200,3943.87796,0.01604,15554173.40200,6487.67925,423.00000,16994.95538,1031063.97990,1015.41321,0.05975,1031063.97990,1670.35472,1364.00000,40584.07534,1926231.34180,1387.88737,0.03420,1926231.34180,2283.07472,0.37254,0.24045,0.31357,0.02168,0.05176,0.00712,0.00724,0.00644,0.00210,0.00278
0,_US total,20-24," 50,398 ",2243041.19990,143872271.20000,11994.67679,0.00535,143872271.20000,19731.24331,22423.00000,901979.48469,48866688.04600,6990.47123,0.00775,48866688.04600,11499.32518,10914.00000,566735.56858,46197045.85500,6796.84087,0.01199,46197045.85500,11180.80324,12757.00000,625582.13475,41173694.78300,6416.67319,0.01026,41173694.78300,10555.42739,1117.00000,48284.32321,3308790.83220,1819.00820,0.03767,3308790.83220,2992.26849,3187.00000,100459.68863,5036565.84050,2244.22945,0.02234,5036565.84050,3691.75745,0.40212,0.25266,0.27890,0.02153,0.04479,0.00371,0.00446,0.00402,0.00132,0.00160
10420,"Akron, OH",16-19, 29 ,1546.68329,126928.50726,356.27027,0.23034,126928.50726,586.06460,20.00000,1047.46008,82202.62543,286.71000,0.27372,82202.62543,471.63795,5.00000,179.27013,9521.40381,97.57768,0.54431,9521.40381,160.51529,,,,,,,,,,,,,,,,,,,,,,0.67723,0.11591,,,,0.16473,0.09403,,,
10420,"Akron, OH",20-24, 85 ,4025.36815,203697.12891,451.32818,0.11212,203697.12891,742.43486,52.00000,2560.66175,152637.74060,390.68880,0.15257,152637.74060,642.68308,20.00000,942.72395,71484.89233,267.36659,0.28361,71484.89233,439.81804,5.00000,196.58859,12722.87977,112.79574,0.57377,12722.87977,185.54900,6.00000,221.39387,10237.47547,101.18041,0.45702,10237.47547,166.44178,,,,,,,,0.63613,0.23420,0.04884,0.05500,,0.10828,0.10036,0.04521,0.04008,
10580,"Albany-Schenectady-Troy, NY",16-19, 34 ,1996.64544,128234.39557,358.09830,0.17935,128234.39557,589.07171,15.00000,506.33210,33157.28249,182.09141,0.35963,33157.28249,299.54037,6.00000,359.45604,29488.71880,171.72280,0.47773,29488.71880,282.48400,,,,,,,,6.00000,595.88686,61997.55061,248.99307,0.41785,61997.55061,409.59361,,,,,,,,0.25359,0.18003,,0.29844,,0.13003,0.13113,,0.18528,
10580,"Albany-Schenectady-Troy, NY",20-24, 68 ,3470.32844,274771.20994,524.18624,0.15105,274771.20994,862.28636,46.00000,2122.63355,132455.65051,363.94457,0.17146,132455.65051,598.68882,10.00000,718.05657,75335.95978,274.47397,0.38225,75335.95978,451.50968,5.00000,191.75621,6390.89809,79.94309,0.41690,6390.89809,131.50639,,,,,,,,,,,,,,,0.61165,0.20691,0.05526,,,0.08163,0.11952,0.03532,,
10740,"Albuquerque, NM",16-19, 71 ,2784.99747,176279.47368,419.85649,0.15076,176279.47368,690.66393,13.00000,582.76846,33094.76637,181.91967,0.31216,33094.76637,299.25786,,,,,,,,32.00000,1655.73418,92608.81312,304.31696,0.18380,92608.81312,500.60140,,,,,,,,22.00000,324.99825,9355.94990,96.72616,0.29762,9355.94990,159.11453,0.20925,,0.59452,,0.11670,0.09409,,0.10282,,0.04926
10740,"Albuquerque, NM",20-24, 163 ,7696.57729,466656.11176,683.12233,0.08876,466656.11176,1123.73623,33.00000,1839.18658,104926.98572,323.92435,0.17612,104926.98572,532.85556,,,,,,,,75.00000,4464.81105,290208.78328,538.71030,0.12066,290208.78328,886.17844,,,,,,,,51.00000,1094.94291,49870.09583,223.31613,0.20395,49870.09583,367.35504,0.23896,,0.58010,,0.14226,0.05980,,0.07800,,0.04297
10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19, 32 ,1860.14131,194733.85908,441.28660,0.23723,194733.85908,725.91645,11.00000,388.51130,20608.08720,143.55517,0.36950,20608.08720,236.14826,,,,,,,,20.00000,1429.05215,166051.25629,407.49387,0.28515,166051.25629,670.32742,,,,,,,,,,,,,,,0.20886,,0.76825,,,0.09733,,0.19994,,
10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24, 81 ,4241.87302,377261.67264,614.21631,0.14480,377261.67264,1010.38583,45.00000,2018.00959,142905.97076,378.02906,0.18733,142905.97076,621.85780,8.00000,361.90172,23859.70310,154.46586,0.42682,23859.70310,254.09635,28.00000,1861.96170,196499.12041,443.28221,0.23807,196499.12041,729.19924,,,,,,,,,,,,,,,0.47574,0.08532,0.43895,,,0.09301,0.05635,0.13645,,
12060,"Atlanta-Sandy Springs-Roswell, GA",16-19, 310 ,14194.81523,753296.39954,867.92649,0.06114,753296.39954,1427.73908,94.00000,3857.89865,159676.69007,399.59566,0.10358,159676.69007,657.33486,147.00000,6929.00829,438631.59936,662.29268,0.09558,438631.59936,1089.47147,44.00000,2290.51704,161112.10629,401.38773,0.17524,161112.10629,660.28281,9.00000,261.98077,12034.29186,109.70092,0.41874,12034.29186,180.45801,16.00000,855.41048,69306.11790,263.26055,0.30776,69306.11790,433.06361,0.27178,0.48814,0.16136,0.01846,0.06026,0.03738,0.05899,0.04359,0.01258,0.02990
12060,"Atlanta-Sandy Springs-Roswell, GA",20-24, 721 ,38685.38067,2448994.69360,1564.92642,0.04045,2448994.69360,2574.30396,223.00000,10828.01662,847247.32172,920.46039,0.08501,847247.32172,1514.15733,362.00000,20488.09140,990616.09878,995.29699,0.04858,990616.09878,1637.26355,95.00000,5904.53509,561394.24351,749.26247,0.12690,561394.24351,1232.53676,23.00000,809.24493,41790.19469,204.42650,0.25261,41790.19469,336.28160,18.00000,655.49263,37545.55547,193.76676,0.29560,37545.55547,318.74631,0.27990,0.52961,0.15263,0.02092,0.01694,0.03442,0.02343,0.03020,0.00858,0.00816
