Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_tot ,dy_total,var_tot,se_tot,cv_tot,se2_tot,moe_tot,sample_m,dy_male,var_m,se_m,cv_m,se2_m,moe_m,sample_f,dy_female,var_f,se_f,cv_f,se2_f,moe_f,S_male,S_female,MOE_Smale,MOE_Sfemale
0,_US total,16-19," 19,771 ",784008.30555,62389273.41800,7898.68808,0.01007,62389273.41800,12993.34190,10003.00000,396278.66317,24260872.24200,4925.53269,0.01243,24260872.24200,8102.50127,9768.00000,387729.64238,25034550.82900,5003.45389,0.01290,25034550.82900,8230.68165,0.50545,0.49455,0.00605,0.00656
0,_US total,20-24," 50,398 ",2243041.19990,143872271.20000,11994.67679,0.00535,143872271.20000,19731.24331,21972.00000,999742.82730,68994419.13100,8306.28793,0.00831,68994419.13100,13663.84364,28426.00000,1243298.37260,62302413.93700,7893.18782,0.00635,62302413.93700,12984.29396,0.44571,0.55429,0.00466,0.00312
10420,"Akron, OH",16-19, 29 ,1546.68329,126928.50726,356.27027,0.23034,126928.50726,586.06460,17.00000,593.70869,43524.13654,208.62439,0.35139,43524.13654,343.18712,12.00000,952.97460,83411.25809,288.81007,0.30306,83411.25809,475.09257,0.38386,0.61614,0.16756,0.19961
10420,"Akron, OH",20-24, 85 ,4025.36815,203697.12891,451.32818,0.11212,203697.12891,742.43486,39.00000,1957.58181,131750.61625,362.97468,0.18542,131750.61625,597.09334,46.00000,2067.78635,87747.52431,296.22209,0.14326,87747.52431,487.28533,0.48631,0.51369,0.11814,0.07535
10580,"Albany-Schenectady-Troy, NY",16-19, 34 ,1996.64544,128234.39557,358.09830,0.17935,128234.39557,589.07171,13.00000,739.19508,33968.94343,184.30666,0.24933,33968.94343,303.18445,21.00000,1257.45036,102856.88177,320.71308,0.25505,102856.88177,527.57302,0.37022,0.62978,0.10549,0.18787
10580,"Albany-Schenectady-Troy, NY",20-24, 68 ,3470.32844,274771.20994,524.18624,0.15105,274771.20994,862.28636,32.00000,1594.39913,126425.79677,355.56405,0.22301,126425.79677,584.90287,36.00000,1875.92931,104964.42475,323.98214,0.17270,104964.42475,532.95061,0.45944,0.54056,0.12400,0.07446
10740,"Albuquerque, NM",16-19, 71 ,2784.99747,176279.47368,419.85649,0.15076,176279.47368,690.66393,35.00000,1497.27212,94973.48910,308.17769,0.20583,94973.48910,506.95230,36.00000,1287.72535,80890.34971,284.41229,0.22086,80890.34971,467.85821,0.53762,0.46238,0.12393,0.12277
10740,"Albuquerque, NM",20-24, 163 ,7696.57729,466656.11176,683.12233,0.08876,466656.11176,1123.73623,61.00000,2786.54618,142132.61250,377.00479,0.13529,142132.61250,620.17288,102.00000,4910.03111,334079.29855,577.99593,0.11772,334079.29855,950.80331,0.36205,0.63795,0.06082,0.08115
10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19, 32 ,1860.14131,194733.85908,441.28660,0.23723,194733.85908,725.91645,15.00000,528.97242,28376.20759,168.45239,0.31845,28376.20759,277.10418,17.00000,1331.16889,145180.57104,381.02568,0.28623,145180.57104,626.78725,0.28437,0.71563,0.09938,0.18854
10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24, 81 ,4241.87302,377261.67264,614.21631,0.14480,377261.67264,1010.38583,38.00000,2073.03863,138086.84554,371.60038,0.17925,138086.84554,611.28263,43.00000,2168.83438,169910.60844,412.20215,0.19006,169910.60844,678.07253,0.48871,0.51129,0.08495,0.10354
12060,"Atlanta-Sandy Springs-Roswell, GA",16-19, 310 ,14194.81523,753296.39954,867.92649,0.06114,753296.39954,1427.73908,154.00000,6995.12329,377756.01508,614.61859,0.08786,377756.01508,1011.04759,156.00000,7199.69194,386538.63110,621.72231,0.08635,386538.63110,1022.73320,0.49279,0.50721,0.05115,0.05088
12060,"Atlanta-Sandy Springs-Roswell, GA",20-24, 721 ,38685.38067,2448994.69360,1564.92642,0.04045,2448994.69360,2574.30396,313.00000,17019.95803,1164657.21460,1079.19285,0.06341,1164657.21460,1775.27224,408.00000,21665.42264,1270918.69520,1127.35030,0.05203,1270918.69520,1854.49124,0.43996,0.56004,0.03534,0.03015
12260,"Augusta-Richmond County, GA-SC",16-19, 46 ,2145.55062,114519.39543,338.40714,0.15773,114519.39543,556.67975,21.00000,1267.31675,87777.04539,296.27191,0.23378,87777.04539,487.36729,25.00000,878.23388,30177.07594,173.71550,0.19780,30177.07594,285.76200,0.59067,0.40933,0.16766,0.08037
12260,"Augusta-Richmond County, GA-SC",20-24, 97 ,4473.16171,315403.32531,561.60780,0.12555,315403.32531,923.84484,38.00000,2340.10000,181013.77369,425.45713,0.18181,181013.77369,699.87699,59.00000,2133.06171,137103.17616,370.27446,0.17359,137103.17616,609.10149,0.52314,0.47686,0.11317,0.09403
12420,"Austin-Round Rock, TX",16-19, 84 ,3908.88232,242842.84241,492.79087,0.12607,242842.84241,810.64098,39.00000,1826.52245,127817.32931,357.51550,0.19574,127817.32931,588.11299,45.00000,2082.35987,124862.54189,353.35894,0.16969,124862.54189,581.27546,0.46727,0.53273,0.11509,0.09954
12420,"Austin-Round Rock, TX",20-24, 201 ,9206.14193,601975.59684,775.87086,0.08428,601975.59684,1276.30757,79.00000,3441.94217,291649.73543,540.04605,0.15690,291649.73543,888.37575,122.00000,5764.19976,338960.34175,582.20301,0.10100,338960.34175,957.72395,0.37387,0.62613,0.08140,0.05734
12540,"Bakersfield, CA",16-19, 83 ,3823.75159,239405.62608,489.29094,0.12796,239405.62608,804.88360,43.00000,2136.40534,133611.23043,365.52870,0.17110,133611.23043,601.29471,40.00000,1687.34624,99212.97741,314.98092,0.18667,99212.97741,518.14361,0.55872,0.44128,0.10439,0.09866
12540,"Bakersfield, CA",20-24, 242 ,11727.74824,462813.06340,680.30366,0.05801,462813.06340,1119.09951,107.00000,5224.69049,334840.36518,578.65393,0.11075,334840.36518,951.88571,135.00000,6503.05775,336068.47272,579.71413,0.08914,336068.47272,953.62974,0.44550,0.55450,0.06914,0.06174
12580,"Baltimore-Columbia-Towson, MD",16-19, 114 ,5319.98931,406294.00521,637.41196,0.11981,406294.00521,1048.54267,62.00000,2931.75999,190798.50376,436.80488,0.14899,190798.50376,718.54403,52.00000,2388.22933,195739.60236,442.42469,0.18525,195739.60236,727.78861,0.55108,0.44892,0.08028,0.10434
12580,"Baltimore-Columbia-Towson, MD",20-24, 300 ,13639.66923,875976.34114,935.93608,0.06862,875976.34114,1539.61485,144.00000,6590.60325,409333.10241,639.79145,0.09708,409333.10241,1052.45694,156.00000,7049.06598,499548.43744,706.78741,0.10027,499548.43744,1162.66528,0.48319,0.51681,0.05458,0.06215
12940,"Baton Rouge, LA",16-19, 46 ,2355.26251,239188.01418,489.06852,0.20765,239188.01418,804.51771,23.00000,1216.85371,90915.59932,301.52214,0.24779,90915.59932,496.00392,23.00000,1138.40880,92282.77132,303.78079,0.26685,92282.77132,499.71941,0.51665,0.48335,0.11491,0.13326
12940,"Baton Rouge, LA",20-24, 120 ,7921.59152,633532.50358,795.94755,0.10048,633532.50358,1309.33372,55.00000,3533.96631,304633.69600,551.93632,0.15618,304633.69600,907.93524,65.00000,4387.62521,326237.92776,571.17242,0.13018,326237.92776,939.57862,0.44612,0.55388,0.08775,0.07541
13820,"Birmingham-Hoover, AL",16-19, 70 ,3566.56421,249330.20286,499.32975,0.14000,249330.20286,821.39744,32.00000,1912.02237,169485.61756,411.68631,0.21531,169485.61756,677.22398,38.00000,1654.54185,81583.17236,285.62768,0.17263,81583.17236,469.85754,0.53610,0.46390,0.14426,0.07708
13820,"Birmingham-Hoover, AL",20-24, 193 ,9534.61881,611104.54156,781.73176,0.08199,611104.54156,1285.94874,94.00000,5213.64137,350759.35858,592.24941,0.11360,350759.35858,974.25027,99.00000,4320.97744,165702.89759,407.06621,0.09421,165702.89759,669.62391,0.54681,0.45319,0.07072,0.03459
14260,"Boise City, ID",16-19, 30 ,2000.93808,214498.50368,463.13983,0.23146,214498.50368,761.86502,17.00000,1204.34421,99187.28549,314.94013,0.26150,99187.28549,518.07651,13.00000,796.59387,95475.45007,308.99102,0.38789,95475.45007,508.29023,0.60189,0.39811,0.12049,0.20384
14260,"Boise City, ID",20-24, 73 ,4075.91217,388921.53462,623.63574,0.15301,388921.53462,1025.88079,27.00000,1456.85410,83279.05851,288.58111,0.19809,83279.05851,474.71593,46.00000,2619.05807,285585.34389,534.40186,0.20404,285585.34389,879.09105,0.35743,0.64257,0.07397,0.14269
14460,"Boston-Cambridge-Newton, MA-NH",16-19, 115 ,4121.76943,238707.38897,488.57690,0.11854,238707.38897,803.70900,78.00000,2772.79998,154708.72317,393.33030,0.14185,154708.72317,647.02834,37.00000,1348.96945,65809.57214,256.53376,0.19017,65809.57214,421.99804,0.67272,0.32728,0.08623,0.08006
14460,"Boston-Cambridge-Newton, MA-NH",20-24, 319 ,13561.08195,1108629.41690,1052.91472,0.07764,1108629.41690,1732.04472,156.00000,6970.06414,529462.47458,727.64172,0.10440,529462.47458,1196.97063,163.00000,6591.01781,241679.42858,491.60902,0.07459,241679.42858,808.69684,0.51398,0.48602,0.05900,0.08608
14860,"Bridgeport-Stamford-Norwalk, CT",16-19, 31 ,1609.18625,127925.89475,357.66730,0.22227,127925.89475,588.36270,20.00000,1052.33227,74134.93827,272.27732,0.25874,74134.93827,447.89619,11.00000,556.85397,40144.63017,200.36125,0.35981,40144.63017,329.59425,0.65395,0.34605,0.14248,0.16107
14860,"Bridgeport-Stamford-Norwalk, CT",20-24, 63 ,2606.03011,115540.11936,339.91193,0.13043,115540.11936,559.15512,25.00000,996.68091,41427.00224,203.53624,0.20421,41427.00224,334.81712,38.00000,1609.34920,65940.67698,256.78917,0.15956,65940.67698,422.41818,0.38245,0.61755,0.09886,0.09337
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",16-19, 70 ,2610.03397,138851.38824,372.62768,0.14277,138851.38824,612.97253,36.00000,1502.76368,74395.49986,272.75538,0.18150,74395.49986,448.68261,34.00000,1107.27030,57655.86026,240.11635,0.21685,57655.86026,394.99139,0.57576,0.42424,0.10615,0.11391
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",20-24, 143 ,6085.04172,336458.40638,580.05035,0.09532,336458.40638,954.18282,70.00000,2896.35176,162787.44640,403.46926,0.13930,162787.44640,663.70694,73.00000,3188.68996,131120.32080,362.10540,0.11356,131120.32080,595.66338,0.47598,0.52402,0.07954,0.05320
15980,"Cape Coral-Fort Myers, FL",16-19, 34 ,1502.26518,108650.30101,329.62145,0.21942,108650.30101,542.22729,15.00000,738.09040,63956.85801,252.89693,0.34264,63956.85801,416.01545,19.00000,764.17478,47330.33253,217.55536,0.28469,47330.33253,357.87856,0.49132,0.50868,0.21270,0.15179
15980,"Cape Coral-Fort Myers, FL",20-24, 97 ,4077.16697,209767.85364,458.00421,0.11233,209767.85364,753.41692,49.00000,1998.03269,91945.12766,303.22455,0.15176,91945.12766,498.80438,48.00000,2079.13428,121857.18963,349.08049,0.16790,121857.18963,574.23741,0.49005,0.50995,0.08226,0.10467
16700,"Charleston-North Charleston, SC",16-19, 28 ,1281.63202,87398.04960,295.63161,0.23067,87398.04960,486.31400,12.00000,538.84085,43591.44491,208.78564,0.38747,43591.44491,343.45238,16.00000,742.79118,40301.70892,200.75286,0.27027,40301.70892,330.23845,0.42043,0.57957,0.21532,0.13428
16700,"Charleston-North Charleston, SC",20-24, 129 ,5560.60643,421825.15744,649.48068,0.11680,421825.15744,1068.39572,48.00000,2206.65798,187274.52345,432.75227,0.19611,187274.52345,711.87748,81.00000,3353.94844,164510.30130,405.59869,0.12093,164510.30130,667.20985,0.39684,0.60316,0.10284,0.03110
16740,"Charlotte-Concord-Gastonia, NC-SC",16-19, 136 ,4482.82129,211512.37349,459.90474,0.10259,211512.37349,756.54330,72.00000,2389.08290,76864.16900,277.24388,0.11605,76864.16900,456.06618,64.00000,2093.73839,102789.31965,320.60773,0.15313,102789.31965,527.39972,0.53294,0.46706,0.04755,0.08734
16740,"Charlotte-Concord-Gastonia, NC-SC",20-24, 402 ,17903.85732,1224769.59620,1106.69309,0.06181,1224769.59620,1820.51013,165.00000,7255.51315,506432.68511,711.64084,0.09808,506432.68511,1170.64918,237.00000,10648.34417,549925.24245,741.56945,0.06964,549925.24245,1219.88174,0.40525,0.59475,0.05077,0.03139
16860,"Chattanooga, TN-GA",16-19, 55 ,1820.24681,67018.18224,258.87870,0.14222,67018.18224,425.85546,29.00000,763.80641,30934.21736,175.88126,0.23027,30934.21736,289.32467,26.00000,1056.44039,39029.14959,197.55797,0.18700,39029.14959,324.98285,0.41962,0.58038,0.12501,0.11593
16860,"Chattanooga, TN-GA",20-24, 98 ,4020.15248,241769.66886,491.70079,0.12231,241769.66886,808.84780,44.00000,1952.85683,133147.32280,364.89358,0.18685,133147.32280,600.24993,54.00000,2067.29565,91794.26138,302.97568,0.14656,91794.26138,498.39499,0.48577,0.51423,0.11288,0.06830
16980,"Chicago-Naperville-Elgin, IL-IN-WI",16-19, 461 ,21938.55627,1891921.36040,1375.47132,0.06270,1891921.36040,2262.65033,248.00000,11315.74637,861821.19718,928.34325,0.08204,861821.19718,1527.12465,213.00000,10622.80990,704635.00189,839.42540,0.07902,704635.00189,1380.85478,0.51579,0.48421,0.04489,0.03831
16980,"Chicago-Naperville-Elgin, IL-IN-WI",20-24," 1,173 ",60496.31424,3521246.20900,1876.49839,0.03102,3521246.20900,3086.83985,580.00000,30113.40953,1618171.45160,1272.07368,0.04224,1618171.45160,2092.56121,593.00000,30382.90471,1767907.27710,1329.62674,0.04376,1767907.27710,2187.23599,0.49777,0.50223,0.02348,0.02550
17140,"Cincinnati, OH-KY-IN",16-19, 114 ,4591.43771,269319.28909,518.95981,0.11303,269319.28909,853.68889,64.00000,2240.57327,130268.93704,360.92788,0.16109,130268.93704,593.72637,50.00000,2350.86444,106418.45426,326.21841,0.13877,106418.45426,536.62929,0.48799,0.51201,0.09214,0.06780
17140,"Cincinnati, OH-KY-IN",20-24, 267 ,11522.52286,587893.98419,766.74245,0.06654,587893.98419,1261.29133,107.00000,5076.52756,358015.39294,598.34388,0.11786,358015.39294,984.27567,160.00000,6445.99530,253295.93205,503.28514,0.07808,253295.93205,827.90406,0.44057,0.55943,0.07051,0.03759
17460,"Cleveland-Elyria, OH",16-19, 137 ,5724.73859,218614.03754,467.56180,0.08167,218614.03754,769.13916,56.00000,2638.07303,116605.74881,341.47584,0.12944,116605.74881,561.72776,81.00000,3086.66555,127129.78758,356.55264,0.11551,127129.78758,586.52910,0.46082,0.53918,0.07612,0.07245
17460,"Cleveland-Elyria, OH",20-24, 310 ,13717.96803,732979.33153,856.14212,0.06241,732979.33153,1408.35379,150.00000,6535.42428,383287.14918,619.10189,0.09473,383287.14918,1018.42261,160.00000,7182.54374,434580.55024,659.22724,0.09178,434580.55024,1084.42881,0.47641,0.52359,0.05585,0.05796
17820,"Colorado Springs, CO",16-19, 35 ,1424.59156,46922.25611,216.61546,0.15205,46922.25611,356.33243,20.00000,891.10549,48365.64993,219.92192,0.24680,48365.64993,361.77155,15.00000,533.48608,27781.70788,166.67846,0.31243,27781.70788,274.18606,0.62552,0.37448,0.20002,0.16813
17820,"Colorado Springs, CO",20-24, 82 ,4444.72927,396373.97660,629.58238,0.14165,396373.97660,1035.66302,35.00000,2205.51346,260653.32426,510.54219,0.23148,260653.32426,839.84190,47.00000,2239.21581,142018.55576,376.85349,0.16830,142018.55576,619.92400,0.49621,0.50379,0.14945,0.07532
