Assigned_CBSA,Assigned_CBSATitle,age_recode,fb_recode,fb_label,sample_n,DY,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ShareDY,MOE_ShareDY
0,_US total,16-19,0,NB,17851.00000,696590.61909,56002848.77800,7483.50511,0.01074,56002848.77800,12310.36591,482588.00000,15869067.86900,410365042.21000,20257.46880,0.00128,410365042.21000,33323.53618,0.04390,0.00077
0,_US total,16-19,1,FB,1920.00000,87417.68647,5035483.06110,2243.98820,0.02567,5035483.06110,3691.36060,34268.00000,1271570.88820,73433377.72100,8569.32773,0.00674,73433377.72100,14096.54411,0.06875,0.00280
0,_US total,20-24,0,NB,44792.00000,1964791.53890,114157276.55000,10684.44086,0.00544,114157276.55000,17575.90522,519527.00000,20285209.94800,375149270.50000,19368.77050,0.00095,375149270.50000,31861.62747,0.09686,0.00085
0,_US total,20-24,1,FB,5606.00000,278249.66101,19176645.37300,4379.11468,0.01574,19176645.37300,7203.64365,56614.00000,2429089.36300,236409392.25000,15375.61031,0.00633,236409392.25000,25292.87895,0.11455,0.00272
10420,"Akron, OH",16-19,0,NB,28.00000,1377.34996,106221.81384,325.91688,0.23663,106221.81384,536.13327,1108.00000,39245.78689,712627.81563,844.17286,0.02151,712627.81563,1388.66435,0.03510,0.01360
10420,"Akron, OH",16-19,1,FB,,,,,,,,47.00000,1592.24911,120616.83254,347.29934,0.21812,120616.83254,571.30742,,
10420,"Akron, OH",20-24,0,NB,77.00000,3683.30762,211187.58283,459.55150,0.12477,211187.58283,755.96222,1201.00000,53029.45915,481843.44242,694.14944,0.01309,481843.44242,1141.87583,0.06946,0.01418
10420,"Akron, OH",20-24,1,FB,8.00000,342.06054,19286.70913,138.87660,0.40600,19286.70913,228.45200,89.00000,3187.93827,142190.21063,377.08117,0.11828,142190.21063,620.29853,0.10730,0.06855
10580,"Albany-Schenectady-Troy, NY",16-19,0,NB,27.00000,1500.10068,106526.22611,326.38356,0.21757,106526.22611,536.90095,1521.00000,45883.57404,930950.62151,964.85782,0.02103,930950.62151,1587.19112,0.03269,0.01165
10580,"Albany-Schenectady-Troy, NY",16-19,1,FB,7.00000,496.54476,33913.59611,184.15644,0.37088,33913.59611,302.93735,102.00000,3512.09203,243818.87043,493.78018,0.14059,243818.87043,812.26840,0.14138,0.07982
10580,"Albany-Schenectady-Troy, NY",20-24,0,NB,62.00000,2855.66371,191350.60769,437.43640,0.15318,191350.60769,719.58288,1678.00000,62610.52388,1049811.03910,1024.60287,0.01636,1049811.03910,1685.47172,0.04561,0.01143
10580,"Albany-Schenectady-Troy, NY",20-24,1,FB,6.00000,614.66473,81061.17703,284.71245,0.46320,81061.17703,468.35197,117.00000,4654.82814,320923.26882,566.50090,0.12170,320923.26882,931.89398,0.13205,0.09708
10740,"Albuquerque, NM",16-19,0,NB,66.00000,2483.38819,160807.45044,401.00804,0.16148,160807.45044,659.65823,1054.00000,43197.14190,1334315.89890,1155.12592,0.02674,1334315.89890,1900.18214,0.05749,0.01506
10740,"Albuquerque, NM",16-19,1,FB,5.00000,301.60928,19168.53497,138.45048,0.45904,19168.53497,227.75104,66.00000,3426.65948,296389.52414,544.41668,0.15888,296389.52414,895.56544,0.08802,0.06236
10740,"Albuquerque, NM",20-24,0,NB,146.00000,6844.51769,458486.48495,677.11630,0.09893,458486.48495,1113.85632,1171.00000,56623.26910,1994363.08230,1412.21920,0.02494,1994363.08230,2323.10059,0.12088,0.01904
10740,"Albuquerque, NM",20-24,1,FB,17.00000,852.05960,46353.45899,215.29853,0.25268,46353.45899,354.16609,112.00000,6518.46696,698757.61263,835.91723,0.12824,698757.61263,1375.08384,0.13071,0.04682
10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,0,NB,31.00000,1772.93047,181376.18405,425.88283,0.24021,181376.18405,700.57725,1240.00000,43005.36763,1040101.30410,1019.85357,0.02371,1040101.30410,1677.65912,0.04123,0.01621
10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,1,FB,,,,,,,,63.00000,2317.08389,137161.42044,370.35310,0.15984,137161.42044,609.23085,,
10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,0,NB,77.00000,4085.01506,361575.96382,601.31187,0.14720,361575.96382,989.15802,1256.00000,48474.09825,1005201.65220,1002.59745,0.02068,1005201.65220,1649.27281,0.08427,0.02020
10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,1,FB,,,,,,,,92.00000,4310.38923,356683.81876,597.23012,0.13856,356683.81876,982.44355,,
