Assigned_CBSA,Assigned_CBSATitle,age_recode, sample_n ,DY,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ShareDY,MOE_ShareDY
0,_US total,16-19," 19,771 ",784008.30555,62389273.41800,7898.68808,0.01007,62389273.41800,12993.34190,516856.00000,17140638.75800,383251565.25000,19576.81193,0.00114,383251565.25000,32203.85562,0.04574,0.00075
0,_US total,20-24," 50,398 ",2243041.19990,143872271.20000,11994.67679,0.00535,143872271.20000,19731.24331,576141.00000,22714299.31100,512142002.02000,22630.55461,0.00100,512142002.02000,37227.26234,0.09875,0.00085
10420,"Akron, OH",16-19, 29 ,1546.68329,126928.50726,356.27027,0.23034,126928.50726,586.06460,1155.00000,40838.03600,655940.91171,809.90179,0.01983,655940.91171,1332.28845,0.03787,0.01430
10420,"Akron, OH",20-24, 85 ,4025.36815,203697.12891,451.32818,0.11212,203697.12891,742.43486,1290.00000,56217.39742,576741.94045,759.43528,0.01351,576741.94045,1249.27103,0.07160,0.01311
10580,"Albany-Schenectady-Troy, NY",16-19, 34 ,1996.64544,128234.39557,358.09830,0.17935,128234.39557,589.07171,1623.00000,49395.66606,1150204.09420,1072.47568,0.02171,1150204.09420,1764.22250,0.04042,0.01184
10580,"Albany-Schenectady-Troy, NY",20-24, 68 ,3470.32844,274771.20994,524.18624,0.15105,274771.20994,862.28636,1795.00000,67265.35202,1023620.91250,1011.74152,0.01504,1023620.91250,1664.31481,0.05159,0.01276
10740,"Albuquerque, NM",16-19, 71 ,2784.99747,176279.47368,419.85649,0.15076,176279.47368,690.66393,1120.00000,46623.80138,1536738.46050,1239.65256,0.02659,1536738.46050,2039.22846,0.05973,0.01458
10740,"Albuquerque, NM",20-24, 163 ,7696.57729,466656.11176,683.12233,0.08876,466656.11176,1123.73623,1283.00000,63141.73606,1656971.79000,1287.23416,0.02039,1656971.79000,2117.50020,0.12189,0.01732
10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19, 32 ,1860.14131,194733.85908,441.28660,0.23723,194733.85908,725.91645,1303.00000,45322.45152,1104567.26000,1050.98395,0.02319,1104567.26000,1728.86860,0.04104,0.01594
10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24, 81 ,4241.87302,377261.67264,614.21631,0.14480,377261.67264,1010.38583,1348.00000,52784.48748,899634.21693,948.49049,0.01797,899634.21693,1560.26686,0.08036,0.01899
12060,"Atlanta-Sandy Springs-Roswell, GA",16-19, 310 ,14194.81523,753296.39954,867.92649,0.06114,753296.39954,1427.73908,7780.00000,304759.58202,8141074.02090,2853.25674,0.00936,8141074.02090,4693.60734,0.04658,0.00463
12060,"Atlanta-Sandy Springs-Roswell, GA",20-24, 721 ,38685.38067,2448994.69360,1564.92642,0.04045,2448994.69360,2574.30396,8124.00000,367967.25283,5517062.10430,2348.84272,0.00638,5517062.10430,3863.84627,0.10513,0.00691
12260,"Augusta-Richmond County, GA-SC",16-19, 46 ,2145.55062,114519.39543,338.40714,0.15773,114519.39543,556.67975,789.00000,29736.10197,855650.41390,925.01374,0.03111,855650.41390,1521.64760,0.07215,0.01835
12260,"Augusta-Richmond County, GA-SC",20-24, 97 ,4473.16171,315403.32531,561.60780,0.12555,315403.32531,923.84484,818.00000,37299.80732,667410.40862,816.95190,0.02190,667410.40862,1343.88588,0.11992,0.02439
12420,"Austin-Round Rock, TX",16-19, 84 ,3908.88232,242842.84241,492.79087,0.12607,242842.84241,810.64098,2971.00000,102469.88770,3029476.90990,1740.53926,0.01699,3029476.90990,2863.18708,0.03815,0.00784
12420,"Austin-Round Rock, TX",20-24, 201 ,9206.14193,601975.59684,775.87086,0.08428,601975.59684,1276.30757,3651.00000,147328.52154,1855781.61430,1362.27076,0.00925,1855781.61430,2240.93539,0.06249,0.00861
12540,"Bakersfield, CA",16-19, 83 ,3823.75159,239405.62608,489.29094,0.12796,239405.62608,804.88360,1370.00000,53581.24013,1279031.52160,1130.94276,0.02111,1279031.52160,1860.40084,0.07136,0.01482
12540,"Bakersfield, CA",20-24, 242 ,11727.74824,462813.06340,680.30366,0.05801,462813.06340,1119.09951,1627.00000,71680.27530,779342.07877,882.80353,0.01232,779342.07877,1452.21181,0.16361,0.01526
12580,"Baltimore-Columbia-Towson, MD",16-19, 114 ,5319.98931,406294.00521,637.41196,0.11981,406294.00521,1048.54267,4052.00000,143522.42930,2334907.54350,1528.04043,0.01065,2334907.54350,2513.62650,0.03707,0.00728
12580,"Baltimore-Columbia-Towson, MD",20-24, 300 ,13639.66923,875976.34114,935.93608,0.06862,875976.34114,1539.61485,5087.00000,188207.56253,1840250.50680,1356.55833,0.00721,1840250.50680,2231.53846,0.07247,0.00814
12940,"Baton Rouge, LA",16-19, 46 ,2355.26251,239188.01418,489.06852,0.20765,239188.01418,804.51771,1057.00000,44852.90106,1452723.87370,1205.28995,0.02687,1452723.87370,1982.70197,0.05251,0.01779
12940,"Baton Rouge, LA",20-24, 120 ,7921.59152,633532.50358,795.94755,0.10048,633532.50358,1309.33372,1274.00000,72309.28741,1381258.53080,1175.26956,0.01625,1381258.53080,1933.31842,0.10955,0.01787
13820,"Birmingham-Hoover, AL",16-19, 70 ,3566.56421,249330.20286,499.32975,0.14000,249330.20286,821.39744,1584.00000,58343.55553,1087460.29210,1042.81364,0.01787,1087460.29210,1715.42844,0.06113,0.01396
13820,"Birmingham-Hoover, AL",20-24, 193 ,9534.61881,611104.54156,781.73176,0.08199,611104.54156,1285.94874,1683.00000,71486.23663,919568.08064,958.94112,0.01341,919568.08064,1577.45815,0.13338,0.01775
14260,"Boise City, ID",16-19, 30 ,2000.93808,214498.50368,463.13983,0.23146,214498.50368,761.86502,768.00000,35716.51904,1030078.26430,1014.92771,0.02842,1030078.26430,1669.55609,0.05602,0.02117
14260,"Boise City, ID",20-24, 73 ,4075.91217,388921.53462,623.63574,0.15301,388921.53462,1025.88079,841.00000,44682.61500,915955.26635,957.05552,0.02142,915955.26635,1574.35633,0.09122,0.02273
14460,"Boston-Cambridge-Newton, MA-NH",16-19, 115 ,4121.76943,238707.38897,488.57690,0.11854,238707.38897,803.70900,8513.00000,261478.82432,4826951.35150,2197.03240,0.00840,4826951.35150,3614.11829,0.01576,0.00307
14460,"Boston-Cambridge-Newton, MA-NH",20-24, 319 ,13561.08195,1108629.41690,1052.91472,0.07764,1108629.41690,1732.04472,10313.00000,343309.43684,4673800.83780,2161.89751,0.00630,4673800.83780,3556.32140,0.03950,0.00503
14860,"Bridgeport-Stamford-Norwalk, CT",16-19, 31 ,1609.18625,127925.89475,357.66730,0.22227,127925.89475,588.36270,1542.00000,52621.71036,828884.73357,910.43107,0.01730,828884.73357,1497.65911,0.03058,0.01115
14860,"Bridgeport-Stamford-Norwalk, CT",20-24, 63 ,2606.03011,115540.11936,339.91193,0.13043,115540.11936,559.15512,1445.00000,54827.19019,464140.65878,681.27869,0.01243,464140.65878,1120.70345,0.04753,0.01015
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",16-19, 70 ,2610.03397,138851.38824,372.62768,0.14277,138851.38824,612.97253,1956.00000,63000.72813,951651.20583,975.52612,0.01548,951651.20583,1604.74046,0.04143,0.00967
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",20-24, 143 ,6085.04172,336458.40638,580.05035,0.09532,336458.40638,954.18282,2375.00000,83588.38721,1031953.71700,1015.85123,0.01215,1031953.71700,1671.07527,0.07280,0.01132
15980,"Cape Coral-Fort Myers, FL",16-19, 34 ,1502.26518,108650.30101,329.62145,0.21942,108650.30101,542.22729,933.00000,28114.94001,538731.46712,733.98329,0.02611,538731.46712,1207.40251,0.05343,0.01915
15980,"Cape Coral-Fort Myers, FL",20-24, 97 ,4077.16697,209767.85364,458.00421,0.11233,209767.85364,753.41692,878.00000,36491.14359,319031.55197,564.82878,0.01548,319031.55197,929.14334,0.11173,0.02045
16700,"Charleston-North Charleston, SC",16-19, 28 ,1281.63202,87398.04960,295.63161,0.23067,87398.04960,486.31400,972.00000,36068.04648,946633.58622,972.95097,0.02698,946633.58622,1600.50434,0.03553,0.01339
16700,"Charleston-North Charleston, SC",20-24, 129 ,5560.60643,421825.15744,649.48068,0.11680,421825.15744,1068.39572,1447.00000,55165.06406,616499.30968,785.17470,0.01423,616499.30968,1291.61238,0.10080,0.01922
16740,"Charlotte-Concord-Gastonia, NC-SC",16-19, 136 ,4482.82129,211512.37349,459.90474,0.10259,211512.37349,756.54330,3616.00000,123189.36955,3016560.87520,1736.82494,0.01410,3016560.87520,2857.07703,0.03639,0.00608
16740,"Charlotte-Concord-Gastonia, NC-SC",20-24, 402 ,17903.85732,1224769.59620,1106.69309,0.06181,1224769.59620,1820.51013,3989.00000,153602.06337,2317645.70330,1522.38159,0.00991,2317645.70330,2504.31771,0.11656,0.01170
16860,"Chattanooga, TN-GA",16-19, 55 ,1820.24681,67018.18224,258.87870,0.14222,67018.18224,425.85546,849.00000,26468.66118,446067.77945,667.88306,0.02523,446067.77945,1098.66763,0.06877,0.01583
16860,"Chattanooga, TN-GA",20-24, 98 ,4020.15248,241769.66886,491.70079,0.12231,241769.66886,808.84780,981.00000,35579.08595,368896.33228,607.36837,0.01707,368896.33228,999.12096,0.11299,0.02251
16980,"Chicago-Naperville-Elgin, IL-IN-WI",16-19, 461 ,21938.55627,1891921.36040,1375.47132,0.06270,1891921.36040,2262.65033,13613.00000,514920.02173,10230389.75800,3198.49805,0.00621,10230389.75800,5261.52929,0.04261,0.00437
16980,"Chicago-Naperville-Elgin, IL-IN-WI",20-24," 1,173 ",60496.31424,3521246.20900,1876.49839,0.03102,3521246.20900,3086.83985,14916.00000,647887.47882,8199614.54830,2863.49691,0.00442,8199614.54830,4710.45242,0.09337,0.00472
17140,"Cincinnati, OH-KY-IN",16-19, 114 ,4591.43771,269319.28909,518.95981,0.11303,269319.28909,853.68889,3215.00000,111510.64056,2443064.68230,1563.03061,0.01402,2443064.68230,2571.18535,0.04117,0.00760
17140,"Cincinnati, OH-KY-IN",20-24, 267 ,11522.52286,587893.98419,766.74245,0.06654,587893.98419,1261.29133,3459.00000,142210.86833,1776068.79480,1332.69231,0.00937,1776068.79480,2192.27885,0.08102,0.00878
17460,"Cleveland-Elyria, OH",16-19, 137 ,5724.73859,218614.03754,467.56180,0.08167,218614.03754,769.13916,3369.00000,109896.35402,1695201.13020,1301.99890,0.01185,1695201.13020,2141.78819,0.05209,0.00692
17460,"Cleveland-Elyria, OH",20-24, 310 ,13717.96803,732979.33153,856.14212,0.06241,732979.33153,1408.35379,3397.00000,127230.70005,961112.59951,980.36350,0.00771,961112.59951,1612.69796,0.10782,0.01098
17820,"Colorado Springs, CO",16-19, 35 ,1424.59156,46922.25611,216.61546,0.15205,46922.25611,356.33243,1021.00000,37347.84650,1082407.39090,1040.38810,0.02786,1082407.39090,1711.43842,0.03814,0.00938
17820,"Colorado Springs, CO",20-24, 82 ,4444.72927,396373.97660,629.58238,0.14165,396373.97660,1035.66302,1395.00000,55125.78565,745141.99725,863.21608,0.01566,745141.99725,1419.99045,0.08063,0.01867
17900,"Columbia, SC",16-19, 48 ,2460.10007,219335.14206,468.33230,0.19037,219335.14206,770.40663,1503.00000,49024.14810,1064802.47170,1031.89266,0.02105,1064802.47170,1697.46343,0.05018,0.01562
17900,"Columbia, SC",20-24, 125 ,5544.60761,579135.69652,761.00966,0.13725,579135.69652,1251.86088,1779.00000,67481.81809,1276995.22180,1130.04213,0.01675,1276995.22180,1858.91931,0.08216,0.01841
18140,"Columbus, OH",16-19, 94 ,3067.81783,152986.33600,391.13468,0.12750,152986.33600,643.41654,2756.00000,98338.51482,2041436.36720,1428.78843,0.01453,2041436.36720,2350.35696,0.03120,0.00650
18140,"Columbus, OH",20-24, 249 ,11534.25972,884613.00513,940.53868,0.08154,884613.00513,1547.18613,3280.00000,132825.02980,1900808.70460,1378.69819,0.01038,1900808.70460,2267.95853,0.08684,0.01155
19100,"Dallas-Fort Worth-Arlington, TX",16-19, 402 ,17277.98820,865974.22412,930.57736,0.05386,865974.22412,1530.79976,10305.00000,368007.54986,6788560.18490,2605.48655,0.00708,6788560.18490,4286.02538,0.04695,0.00412
19100,"Dallas-Fort Worth-Arlington, TX",20-24, 938 ,44367.56817,3510624.35390,1873.66602,0.04223,3510624.35390,3082.18060,10678.00000,454082.25395,6242443.74880,2498.48829,0.00550,6242443.74880,4110.01324,0.09771,0.00673
19380,"Dayton, OH",16-19, 39 ,1438.14860,63851.73289,252.68900,0.17570,63851.73289,415.67341,1315.00000,42973.70849,862124.02846,928.50634,0.02161,862124.02846,1527.39293,0.03347,0.00960
19380,"Dayton, OH",20-24, 103 ,4905.63307,268128.40083,517.81116,0.10555,268128.40083,851.79936,1523.00000,57687.76126,630573.74409,794.08674,0.01377,630573.74409,1306.27268,0.08504,0.01464
19660,"Deltona-Daytona Beach-Ormond Beach, FL",16-19, 40 ,1482.54480,76239.86133,276.11567,0.18624,76239.86133,454.21027,852.00000,29665.84327,1082038.84860,1040.21096,0.03506,1082038.84860,1711.14704,0.04997,0.01504
19660,"Deltona-Daytona Beach-Ormond Beach, FL",20-24, 96 ,4407.62314,244418.38775,494.38688,0.11217,244418.38775,813.26642,904.00000,36844.82990,590358.35191,768.34781,0.02085,590358.35191,1263.93214,0.11963,0.02169
19740,"Denver-Aurora-Lakewood, CO",16-19, 111 ,4875.68897,429753.94515,655.55621,0.13445,429753.94515,1078.38997,3713.00000,129402.05471,2590384.69020,1609.46721,0.01244,2590384.69020,2647.57356,0.03768,0.00830
19740,"Denver-Aurora-Lakewood, CO",20-24, 257 ,11748.71397,780522.74195,883.47198,0.07520,780522.74195,1453.31141,4203.00000,175056.79091,3109877.89640,1763.48459,0.01007,3109877.89640,2900.93215,0.06711,0.00823
19780,"Des Moines-West Des Moines, IA",16-19, 19 ,1132.86032,85336.67309,292.12441,0.25786,85336.67309,480.54466,863.00000,32636.36836,1061395.37720,1030.24045,0.03157,1061395.37720,1694.74553,0.03471,0.01461
19780,"Des Moines-West Des Moines, IA",20-24, 33 ,2190.46235,220325.73938,469.38869,0.21429,220325.73938,772.14439,823.00000,41284.85103,593477.69101,770.37503,0.01866,593477.69101,1267.26693,0.05306,0.01863
