Assigned_CBSA,Assigned_CBSATitle,age_recode,RE,re_label,sample_n,DY,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ShareDY,MOE_ShareDY
0.00000,_US total,16-19,1.00000,White,8446.00000,292073.81542,20188497.90300,4493.16124,0.01538,20188497.90300,7391.25024,306473.00000,9399218.52700,122466991.68000,11066.48055,0.00118,122466991.68000,18204.36050,0.03107,0.00078
0.00000,_US total,16-19,2.00000,Black,4038.00000,188516.75662,15516936.48100,3939.15429,0.02090,15516936.48100,6479.90880,64408.00000,2488338.88940,77020712.55500,8776.14452,0.00353,77020712.55500,14436.75773,0.07576,0.00257
0.00000,_US total,16-19,3.00000,Latino,5500.00000,245838.70279,15554173.40200,3943.87796,0.01604,15554173.40200,6487.67925,95486.00000,3686316.24890,80732207.36700,8985.11031,0.00244,80732207.36700,14780.50647,0.06669,0.00174
0.00000,_US total,16-19,4.00000,Asian,423.00000,16994.95538,1031063.97990,1015.41321,0.05975,1031063.97990,1670.35472,26042.00000,814187.10728,34432812.02600,5867.94785,0.00721,34432812.02600,9652.77422,0.02087,0.00204
0.00000,_US total,16-19,5.00000,Other,1364.00000,40584.07534,1926231.34180,1387.88737,0.03420,1926231.34180,2283.07472,24447.00000,752577.98504,45935896.02300,6777.60253,0.00901,45935896.02300,11149.15616,0.05393,0.00293
0.00000,_US total,20-24,1.00000,White,22423.00000,901979.48469,48866688.04600,6990.47123,0.00775,48866688.04600,11499.32518,340534.00000,12674563.27800,112392235.54000,10601.52044,0.00084,112392235.54000,17439.50112,0.07116,0.00090
0.00000,_US total,20-24,2.00000,Black,10914.00000,566735.56858,46197045.85500,6796.84087,0.01199,46197045.85500,11180.80324,73983.00000,3333649.61440,145858644.35000,12077.19522,0.00362,145858644.35000,19866.98614,0.17000,0.00320
0.00000,_US total,20-24,3.00000,Latino,12757.00000,625582.13475,41173694.78300,6416.67319,0.01026,41173694.78300,10555.42739,105126.00000,4684019.43150,105541594.76000,10273.34389,0.00219,105541594.76000,16899.65071,0.13356,0.00220
0.00000,_US total,20-24,4.00000,Asian,1117.00000,48284.32321,3308790.83220,1819.00820,0.03767,3308790.83220,2992.26849,33167.00000,1208267.52260,51132568.16300,7150.70403,0.00592,51132568.16300,11762.90813,0.03996,0.00245
0.00000,_US total,20-24,5.00000,Other,3187.00000,100459.68863,5036565.84050,2244.22945,0.02234,5036565.84050,3691.75745,23331.00000,813799.46441,35449169.62200,5953.92053,0.00732,35449169.62200,9794.19926,0.12345,0.00429
10420.00000,"Akron, OH",16-19,1.00000,White,20.00000,1047.46008,82202.62543,286.71000,0.27372,82202.62543,471.63795,895.00000,30957.82183,387216.17980,622.26697,0.02010,387216.17980,1023.62916,0.03384,0.01519
10420.00000,"Akron, OH",16-19,2.00000,Black,5.00000,179.27013,9521.40381,97.57768,0.54431,9521.40381,160.51529,150.00000,5539.50123,201905.81304,449.33931,0.08112,201905.81304,739.16316,0.03236,0.02865
10420.00000,"Akron, OH",16-19,3.00000,Latino,,,,,,,,31.00000,1222.35020,48633.96984,220.53111,0.18042,48633.96984,362.77367,,
10420.00000,"Akron, OH",16-19,4.00000,Asian,,,,,,,,32.00000,960.97303,36197.73383,190.25702,0.19798,36197.73383,312.97280,,
10420.00000,"Akron, OH",16-19,5.00000,Other,,,,,,,,47.00000,2157.38971,118806.10683,344.68262,0.15977,118806.10683,567.00291,,
10420.00000,"Akron, OH",20-24,1.00000,White,52.00000,2560.66175,152637.74060,390.68880,0.15257,152637.74060,642.68308,989.00000,42570.31238,161279.60178,401.59632,0.00943,161279.60178,660.62594,0.06015,0.01507
10420.00000,"Akron, OH",20-24,2.00000,Black,20.00000,942.72395,71484.89233,267.36659,0.28361,71484.89233,439.81804,153.00000,7990.66516,255905.73565,505.87126,0.06331,255905.73565,832.15823,0.11798,0.05365
10420.00000,"Akron, OH",20-24,3.00000,Latino,5.00000,196.58859,12722.87977,112.79574,0.57377,12722.87977,185.54900,37.00000,1503.96806,64692.37866,254.34697,0.16912,64692.37866,418.40076,0.13071,0.11789
10420.00000,"Akron, OH",20-24,4.00000,Asian,6.00000,221.39387,10237.47547,101.18041,0.45702,10237.47547,166.44178,76.00000,2368.09949,70205.44215,264.96310,0.11189,70205.44215,435.86429,0.09349,0.06815
10420.00000,"Akron, OH",20-24,5.00000,Other,,,,,,,,35.00000,1784.35233,118706.94855,344.53875,0.19309,118706.94855,566.76624,,
10580.00000,"Albany-Schenectady-Troy, NY",16-19,1.00000,White,15.00000,506.33210,33157.28249,182.09141,0.35963,33157.28249,299.54037,1227.00000,35537.99871,522017.65610,722.50789,0.02033,522017.65610,1188.52548,0.01425,0.00842
10580.00000,"Albany-Schenectady-Troy, NY",16-19,2.00000,Black,6.00000,359.45604,29488.71880,171.72280,0.47773,29488.71880,282.48400,129.00000,4652.20077,204623.13278,452.35289,0.09723,204623.13278,744.12050,0.07727,0.05945
10580.00000,"Albany-Schenectady-Troy, NY",16-19,3.00000,Latino,,,,,,,,101.00000,4092.80884,309062.73814,555.93411,0.13583,309062.73814,914.51162,,
10580.00000,"Albany-Schenectady-Troy, NY",16-19,4.00000,Asian,6.00000,595.88686,61997.55061,248.99307,0.41785,61997.55061,409.59361,83.00000,2442.53776,173596.56907,416.64922,0.17058,173596.56907,685.38796,0.24396,0.15308
10580.00000,"Albany-Schenectady-Troy, NY",16-19,5.00000,Other,,,,,,,,83.00000,2670.11998,165198.33733,406.44598,0.15222,165198.33733,668.60364,,
10580.00000,"Albany-Schenectady-Troy, NY",20-24,1.00000,White,46.00000,2122.63355,132455.65051,363.94457,0.17146,132455.65051,598.68882,1354.00000,50445.66836,195713.41969,442.39509,0.00877,195713.41969,727.73993,0.04208,0.01185
10580.00000,"Albany-Schenectady-Troy, NY",20-24,2.00000,Black,10.00000,718.05657,75335.95978,274.47397,0.38225,75335.95978,451.50968,133.00000,5853.98131,300901.14379,548.54457,0.09370,300901.14379,902.35582,0.12266,0.07478
10580.00000,"Albany-Schenectady-Troy, NY",20-24,3.00000,Latino,5.00000,191.75621,6390.89809,79.94309,0.41690,6390.89809,131.50639,115.00000,3968.00744,203240.92238,450.82250,0.11361,203240.92238,741.60300,0.04833,0.03189
10580.00000,"Albany-Schenectady-Troy, NY",20-24,4.00000,Asian,,,,,,,,114.00000,4428.30037,304895.34167,552.17329,0.12469,304895.34167,908.32506,,
10580.00000,"Albany-Schenectady-Troy, NY",20-24,5.00000,Other,,,,,,,,79.00000,2569.39454,130317.92576,360.99574,0.14050,130317.92576,593.83800,,
10740.00000,"Albuquerque, NM",16-19,1.00000,White,13.00000,582.76846,33094.76637,181.91967,0.31216,33094.76637,299.25786,293.00000,12219.67443,363734.43696,603.10400,0.04936,363734.43696,992.10608,0.04769,0.02418
10740.00000,"Albuquerque, NM",16-19,2.00000,Black,,,,,,,,29.00000,1526.13479,86461.02590,294.04256,0.19267,86461.02590,483.70001,,
10740.00000,"Albuquerque, NM",16-19,3.00000,Latino,32.00000,1655.73418,92608.81312,304.31696,0.18380,92608.81312,500.60140,585.00000,27734.86127,771365.59092,878.27421,0.03167,771365.59092,1444.76108,0.05970,0.01778
10740.00000,"Albuquerque, NM",16-19,4.00000,Asian,,,,,,,,23.00000,1018.08287,65720.21805,256.35955,0.25181,65720.21805,421.71146,,
10740.00000,"Albuquerque, NM",16-19,5.00000,Other,22.00000,324.99825,9355.94990,96.72616,0.29762,9355.94990,159.11453,190.00000,4125.04802,267035.23314,516.75452,0.12527,267035.23314,850.06118,0.07879,0.03499
10740.00000,"Albuquerque, NM",20-24,1.00000,White,33.00000,1839.18658,104926.98572,323.92435,0.17612,104926.98572,532.85556,397.00000,20585.84477,317708.39281,563.65627,0.02738,317708.39281,927.21457,0.08934,0.02557
10740.00000,"Albuquerque, NM",20-24,2.00000,Black,,,,,,,,40.00000,1768.24553,88265.67851,297.09540,0.16802,88265.67851,488.72194,,
10740.00000,"Albuquerque, NM",20-24,3.00000,Latino,75.00000,4464.81105,290208.78328,538.71030,0.12066,290208.78328,886.17844,591.00000,33423.99414,730697.93106,854.80871,0.02557,730697.93106,1406.16033,0.13358,0.02591
10740.00000,"Albuquerque, NM",20-24,4.00000,Asian,,,,,,,,34.00000,1557.96151,96274.21019,310.28086,0.19916,96274.21019,510.41201,,
10740.00000,"Albuquerque, NM",20-24,5.00000,Other,51.00000,1094.94291,49870.09583,223.31613,0.20395,49870.09583,367.35504,221.00000,5805.69011,279313.47781,528.50116,0.09103,279313.47781,869.38441,0.18860,0.05662
10900.00000,"Allentown-Bethlehem-Easton, PA-NJ",16-19,1.00000,White,11.00000,388.51130,20608.08720,143.55517,0.36950,20608.08720,236.14826,971.00000,30229.27976,408598.68201,639.21724,0.02115,408598.68201,1051.51236,0.01285,0.00780
10900.00000,"Allentown-Bethlehem-Easton, PA-NJ",16-19,2.00000,Black,,,,,,,,83.00000,3333.97348,212556.68101,461.03870,0.13829,212556.68101,758.40866,,
10900.00000,"Allentown-Bethlehem-Easton, PA-NJ",16-19,3.00000,Latino,20.00000,1429.05215,166051.25629,407.49387,0.28515,166051.25629,670.32742,172.00000,9062.69162,379903.39594,616.36304,0.06801,379903.39594,1013.91720,0.15769,0.07183
10900.00000,"Allentown-Bethlehem-Easton, PA-NJ",16-19,4.00000,Asian,,,,,,,,45.00000,1774.65059,142878.53865,377.99278,0.21300,142878.53865,621.79812,,
10900.00000,"Allentown-Bethlehem-Easton, PA-NJ",16-19,5.00000,Other,,,,,,,,32.00000,921.85607,62093.52839,249.18573,0.27031,62093.52839,409.91053,,
10900.00000,"Allentown-Bethlehem-Easton, PA-NJ",20-24,1.00000,White,45.00000,2018.00959,142905.97076,378.02906,0.18733,142905.97076,621.85780,1025.00000,37432.02349,291116.21617,539.55187,0.01441,291116.21617,887.56282,0.05391,0.01656
10900.00000,"Allentown-Bethlehem-Easton, PA-NJ",20-24,2.00000,Black,8.00000,361.90172,23859.70310,154.46586,0.42682,23859.70310,254.09635,76.00000,2761.78043,149697.61700,386.90776,0.14009,149697.61700,636.46327,0.13104,0.08691
10900.00000,"Allentown-Bethlehem-Easton, PA-NJ",20-24,3.00000,Latino,28.00000,1861.96170,196499.12041,443.28221,0.23807,196499.12041,729.19924,186.00000,10534.29481,361352.36906,601.12592,0.05706,361352.36906,988.85213,0.17675,0.06720
10900.00000,"Allentown-Bethlehem-Easton, PA-NJ",20-24,4.00000,Asian,,,,,,,,40.00000,1193.31815,64350.85124,253.67470,0.21258,64350.85124,417.29487,,
10900.00000,"Allentown-Bethlehem-Easton, PA-NJ",20-24,5.00000,Other,,,,,,,,21.00000,863.07059,87178.29925,295.25971,0.34210,87178.29925,485.70223,,
12060.00000,"Atlanta-Sandy Springs-Roswell, GA",16-19,1.00000,White,94.00000,3857.89865,159676.69007,399.59566,0.10358,159676.69007,657.33486,3721.00000,129609.69696,2191916.09940,1480.51211,0.01142,2191916.09940,2435.44242,0.02977,0.00504
12060.00000,"Atlanta-Sandy Springs-Roswell, GA",16-19,2.00000,Black,147.00000,6929.00829,438631.59936,662.29268,0.09558,438631.59936,1089.47147,2602.00000,114220.04597,3229967.84830,1797.21113,0.01573,3229967.84830,2956.41231,0.06066,0.00941
12060.00000,"Atlanta-Sandy Springs-Roswell, GA",16-19,3.00000,Latino,44.00000,2290.51704,161112.10629,401.38773,0.17524,161112.10629,660.28281,742.00000,36951.20630,1225664.69950,1107.09742,0.02996,1225664.69950,1821.17526,0.06199,0.01761
12060.00000,"Atlanta-Sandy Springs-Roswell, GA",16-19,4.00000,Asian,9.00000,261.98077,12034.29186,109.70092,0.41874,12034.29186,180.45801,473.00000,15244.27562,545931.33232,738.87166,0.04847,545931.33232,1215.44388,0.01719,0.01176
12060.00000,"Atlanta-Sandy Springs-Roswell, GA",16-19,5.00000,Other,16.00000,855.41048,69306.11790,263.26055,0.30776,69306.11790,433.06361,242.00000,8734.35718,665436.15425,815.74270,0.09339,665436.15425,1341.89674,0.09794,0.04724
12060.00000,"Atlanta-Sandy Springs-Roswell, GA",20-24,1.00000,White,223.00000,10828.01662,847247.32172,920.46039,0.08501,847247.32172,1514.15733,3923.00000,154714.79023,1206697.82760,1098.49799,0.00710,1206697.82760,1807.02919,0.06999,0.00975
12060.00000,"Atlanta-Sandy Springs-Roswell, GA",20-24,2.00000,Black,362.00000,20488.09140,990616.09878,995.29699,0.04858,990616.09878,1637.26355,2640.00000,138131.55576,2671216.22470,1634.38558,0.01183,2671216.22470,2688.56428,0.14832,0.01150
12060.00000,"Atlanta-Sandy Springs-Roswell, GA",20-24,3.00000,Latino,95.00000,5904.53509,561394.24351,749.26247,0.12690,561394.24351,1232.53676,792.00000,44385.22442,1295777.84110,1138.32238,0.02565,1295777.84110,1872.54032,0.13303,0.02720
12060.00000,"Atlanta-Sandy Springs-Roswell, GA",20-24,4.00000,Asian,23.00000,809.24493,41790.19469,204.42650,0.25261,41790.19469,336.28160,540.00000,21030.74303,731262.02503,855.13860,0.04066,731262.02503,1406.70300,0.03848,0.01578
12060.00000,"Atlanta-Sandy Springs-Roswell, GA",20-24,5.00000,Other,18.00000,655.49263,37545.55547,193.76676,0.29560,37545.55547,318.74631,229.00000,9704.93938,650495.01424,806.53271,0.08311,650495.01424,1326.74631,0.06754,0.03152
