Assigned_CBSA,Assigned_CBSATitle,age_recode,sex,sex_label, sample_n ,DY,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ShareDY,MOE_ShareDY
0,_US total,16-19,1,Male," 10,003 ",396278.66317,24260872.24200,4925.53269,0.01243,24260872.24200,8102.50127,265526.00000,8788071.82590,256988590.95000,16030.86370,0.00182,256988590.95000,26370.77079,0.04509,0.00091
0,_US total,16-19,2,Female," 9,768 ",387729.64238,25034550.82900,5003.45389,0.01290,25034550.82900,8230.68165,251330.00000,8352566.93180,137728900.99000,11735.79571,0.00141,137728900.99000,19305.38395,0.04642,0.00098
0,_US total,20-24,1,Male," 21,972 ",999742.82730,68994419.13100,8306.28793,0.00831,68994419.13100,13663.84364,296616.00000,11638475.21300,229446197.12000,15147.48154,0.00130,229446197.12000,24917.60714,0.08590,0.00116
0,_US total,20-24,2,Female," 28,426 ",1243298.37260,62302413.93700,7893.18782,0.00635,62302413.93700,12984.29396,279525.00000,11075824.09700,170818198.07000,13069.74361,0.00118,170818198.07000,21499.72824,0.11225,0.00115
10420,"Akron, OH",16-19,1,Male, 17 ,593.70869,43524.13654,208.62439,0.35139,43524.13654,343.18712,612.00000,21060.15472,373022.12841,610.75538,0.02900,373022.12841,1004.69259,0.02819,0.01624
10420,"Akron, OH",16-19,2,Female, 12 ,952.97460,83411.25809,288.81007,0.30306,83411.25809,475.09257,543.00000,19777.88128,391590.13295,625.77163,0.03164,391590.13295,1029.39433,0.04818,0.02389
10420,"Akron, OH",20-24,1,Male, 39 ,1957.58181,131750.61625,362.97468,0.18542,131750.61625,597.09334,631.00000,27600.49556,285426.11401,534.25286,0.01936,285426.11401,878.84595,0.07093,0.02152
10420,"Akron, OH",20-24,2,Female, 46 ,2067.78635,87747.52431,296.22209,0.14326,87747.52431,487.28533,659.00000,28616.90185,288829.02317,537.42816,0.01878,288829.02317,884.06932,0.07226,0.01688
10580,"Albany-Schenectady-Troy, NY",16-19,1,Male, 13 ,739.19508,33968.94343,184.30666,0.24933,33968.94343,303.18445,841.00000,24530.30172,564644.07571,751.42802,0.03063,564644.07571,1236.09910,0.03013,0.01227
10580,"Albany-Schenectady-Troy, NY",16-19,2,Female, 21 ,1257.45036,102856.88177,320.71308,0.25505,102856.88177,527.57302,782.00000,24865.36434,724469.51597,851.15775,0.03423,724469.51597,1400.15450,0.05057,0.02103
10580,"Albany-Schenectady-Troy, NY",20-24,1,Male, 32 ,1594.39913,126425.79677,355.56405,0.22301,126425.79677,584.90287,944.00000,34319.41256,469016.60209,684.84787,0.01996,469016.60209,1126.57474,0.04646,0.01697
10580,"Albany-Schenectady-Troy, NY",20-24,2,Female, 36 ,1875.92931,104964.42475,323.98214,0.17270,104964.42475,532.95061,851.00000,32945.93945,360586.44345,600.48850,0.01823,360586.44345,987.80359,0.05694,0.01609
10740,"Albuquerque, NM",16-19,1,Male, 35 ,1497.27212,94973.48910,308.17769,0.20583,94973.48910,506.95230,571.00000,24270.79724,693149.32218,832.55590,0.03430,693149.32218,1369.55445,0.06169,0.02060
10740,"Albuquerque, NM",16-19,2,Female, 36 ,1287.72535,80890.34971,284.41229,0.22086,80890.34971,467.85821,549.00000,22353.00414,994197.34951,997.09445,0.04461,994197.34951,1640.22038,0.05761,0.02050
10740,"Albuquerque, NM",20-24,1,Male, 61 ,2786.54618,142132.61250,377.00479,0.13529,142132.61250,620.17288,619.00000,32404.03818,622541.93493,789.01327,0.02435,622541.93493,1297.92682,0.08599,0.01883
10740,"Albuquerque, NM",20-24,2,Female, 102 ,4910.03111,334079.29855,577.99593,0.11772,334079.29855,950.80331,664.00000,30737.69788,787656.73247,887.50027,0.02887,787656.73247,1459.93795,0.15974,0.02999
10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,1,Male, 15 ,528.97242,28376.20759,168.45239,0.31845,28376.20759,277.10418,699.00000,23645.65394,587782.58576,766.66980,0.03242,587782.58576,1261.17182,0.02237,0.01166
10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,2,Female, 17 ,1331.16889,145180.57104,381.02568,0.28623,145180.57104,626.78725,604.00000,21676.79758,598616.36985,773.70302,0.03569,598616.36985,1272.74148,0.06141,0.02869
10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,1,Male, 38 ,2073.03863,138086.84554,371.60038,0.17925,138086.84554,611.28263,660.00000,26730.59486,299705.89047,547.45401,0.02048,299705.89047,900.56184,0.07755,0.02272
10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,2,Female, 43 ,2168.83438,169910.60844,412.20215,0.19006,169910.60844,678.07253,688.00000,26053.89262,660425.07306,812.66541,0.03119,660425.07306,1336.83460,0.08324,0.02567
12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,1,Male, 154 ,6995.12329,377756.01508,614.61859,0.08786,377756.01508,1011.04759,4029.00000,156358.96631,4529085.08060,2128.16472,0.01361,4529085.08060,3500.83097,0.04474,0.00639
12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,2,Female, 156 ,7199.69194,386538.63110,621.72231,0.08635,386538.63110,1022.73320,3751.00000,148400.61571,4191768.54240,2047.38090,0.01380,4191768.54240,3367.94158,0.04852,0.00680
12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,1,Male, 313 ,17019.95803,1164657.21460,1079.19285,0.06341,1164657.21460,1775.27224,4108.00000,184093.22729,2143345.43070,1464.01688,0.00795,2143345.43070,2408.30777,0.09245,0.00957
12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,2,Female, 408 ,21665.42264,1270918.69520,1127.35030,0.05203,1270918.69520,1854.49124,4016.00000,183874.02554,2958230.24060,1719.95065,0.00935,2958230.24060,2829.31882,0.11783,0.00992
12260,"Augusta-Richmond County, GA-SC",16-19,1,Male, 21 ,1267.31675,87777.04539,296.27191,0.23378,87777.04539,487.36729,427.00000,15956.45652,536734.17738,732.62144,0.04591,536734.17738,1205.16227,0.07942,0.02995
12260,"Augusta-Richmond County, GA-SC",16-19,2,Female, 25 ,878.23388,30177.07594,173.71550,0.19780,30177.07594,285.76200,362.00000,13779.64545,279359.18450,528.54440,0.03836,279359.18450,869.45554,0.06373,0.02034
12260,"Augusta-Richmond County, GA-SC",20-24,1,Male, 38 ,2340.10000,181013.77369,425.45713,0.18181,181013.77369,699.87699,427.00000,18647.06434,385893.69503,621.20342,0.03331,385893.69503,1021.87963,0.12549,0.03690
12260,"Augusta-Richmond County, GA-SC",20-24,2,Female, 59 ,2133.06171,137103.17616,370.27446,0.17359,137103.17616,609.10149,391.00000,18652.74298,274483.51974,523.91175,0.02809,274483.51974,861.83483,0.11436,0.03222
12420,"Austin-Round Rock, TX",16-19,1,Male, 39 ,1826.52245,127817.32931,357.51550,0.19574,127817.32931,588.11299,1457.00000,51818.45117,1313263.71840,1145.97719,0.02212,1313263.71840,1885.13248,0.03525,0.01128
12420,"Austin-Round Rock, TX",16-19,2,Female, 45 ,2082.35987,124862.54189,353.35894,0.16969,124862.54189,581.27546,1514.00000,50651.43653,1477102.72540,1215.36115,0.02399,1477102.72540,1999.26909,0.04111,0.01136
12420,"Austin-Round Rock, TX",20-24,1,Male, 79 ,3441.94217,291649.73543,540.04605,0.15690,291649.73543,888.37575,1828.00000,75173.36144,1039476.65330,1019.54728,0.01356,1039476.65330,1677.15527,0.04579,0.01177
12420,"Austin-Round Rock, TX",20-24,2,Female, 122 ,5764.19976,338960.34175,582.20301,0.10100,338960.34175,957.72395,1823.00000,72155.16011,802526.94145,895.83868,0.01242,802526.94145,1473.65463,0.07989,0.01317
12540,"Bakersfield, CA",16-19,1,Male, 43 ,2136.40534,133611.23043,365.52870,0.17110,133611.23043,601.29471,743.00000,28514.73164,709150.85247,842.11095,0.02953,709150.85247,1385.27251,0.07492,0.02077
12540,"Bakersfield, CA",16-19,2,Female, 40 ,1687.34624,99212.97741,314.98092,0.18667,99212.97741,518.14361,627.00000,25066.50848,486088.28412,697.20032,0.02781,486088.28412,1146.89452,0.06731,0.02044
12540,"Bakersfield, CA",20-24,1,Male, 107 ,5224.69049,334840.36518,578.65393,0.11075,334840.36518,951.88571,910.00000,37807.61148,399539.54564,632.09141,0.01672,399539.54564,1039.79036,0.13819,0.02489
12540,"Bakersfield, CA",20-24,2,Female, 135 ,6503.05775,336068.47272,579.71413,0.08914,336068.47272,953.62974,717.00000,33872.66382,338836.54043,582.09668,0.01718,338836.54043,957.54903,0.19199,0.02763
12580,"Baltimore-Columbia-Towson, MD",16-19,1,Male, 62 ,2931.75999,190798.50376,436.80488,0.14899,190798.50376,718.54403,2086.00000,73477.56030,1708943.90330,1307.26581,0.01779,1708943.90330,2150.45226,0.03990,0.00971
