YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,ed_recode,sample_n,EMP,var_n,se_n,cv_n,se2_n,moe_n,ed_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ER,MOE_ER
2000,0,_US total,16-19,0,237901,4751859,,,,,,InSch,640851,12609266,,,,,,0.376854529,
2000,0,_US total,16-19,1,34499,692269,,,,,,LTHS,75609,1509353,,,,,,0.4586528135,
2000,0,_US total,16-19,2,43090,851260,,,,,,HS,65868,1306615,,,,,,0.6515002506,
2000,0,_US total,16-19,3,8384,172178,,,,,,SC,11666,238704,,,,,,0.7213033715,
2000,0,_US total,16-19,4,340,6689,,,,,,AA,458,9191,,,,,,0.7277771733,
2000,0,_US total,16-19,5,97,2188,,,,,,BA+,143,3126,,,,,,0.6999360205,
2000,0,_US total,20-24,0,179224,4031129,,,,,,InSch,297053,6637769,,,,,,0.6073017907,
2000,0,_US total,20-24,1,80237,1696426,,,,,,LTHS,142251,3009454,,,,,,0.5636989301,
2000,0,_US total,20-24,2,151468,3134723,,,,,,HS,211871,4377866,,,,,,0.7160390473,
2000,0,_US total,20-24,3,91641,1980614,,,,,,SC,115218,2486156,,,,,,0.7966571687,
2000,0,_US total,20-24,4,20412,419514,,,,,,AA,23822,490627,,,,,,0.8550568966,
2000,0,_US total,20-24,5,51822,1198320,,,,,,BA+,58345,1345970,,,,,,0.8903021613,
2000,0,_US total,25-54,0,286639,6138376,,,,,,InSch,390049,8346656,,,,,,0.7354293744,
2000,0,_US total,25-54,1,492412,9868219,,,,,,LTHS,864925,17362436,,,,,,0.5683660403,
2000,0,_US total,25-54,2,1231199,23797840,,,,,,HS,1644781,31910319,,,,,,0.7457725509,
2000,0,_US total,25-54,3,979803,19971621,,,,,,SC,1215186,24782167,,,,,,0.8058867895,
2000,0,_US total,25-54,4,341875,6899545,,,,,,AA,407076,8233093,,,,,,0.8380258792,
2000,0,_US total,25-54,5,1225970,26230071,,,,,,BA+,1404459,30051242,,,,,,0.8728448229,
2000,10420,"Akron, OH",16-19,0,693,15838,,,,,,InSch,1498,34001,,,,,,0.4658098291,
2000,10420,"Akron, OH",16-19,1,50,996,,,,,,LTHS,108,2226,,,,,,0.4474393531,
2000,10420,"Akron, OH",16-19,2,125,2882,,,,,,HS,157,3651,,,,,,0.7893727746,
