YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,sample_n,EMP,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ER,MOE_ER
2000,0,_US total,16-19,324311,6476443,,,,,,794595,15676255,,,,,,0.41313713,
2000,0,_US total,20-24,574804,12460726,,,,,,848560,18347842,,,,,,0.6791385058,
2000,0,_US total,25-54,4557898,92905672,,,,,,5926476,120685913,,,,,,0.769813723,
2000,10420,"Akron, OH",16-19,893,20189,,,,,,1792,40420,,,,,,0.4994804552,
2000,10420,"Akron, OH",20-24,1414,34666,,,,,,1835,44606,,,,,,0.7771600233,
2000,10420,"Akron, OH",25-54,10581,240747,,,,,,13206,300256,,,,,,0.8018057924,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,951,18944,,,,,,2263,44305,,,,,,0.4275815371,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,1484,32900,,,,,,2268,49693,,,,,,0.6620650796,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,14310,287334,,,,,,17383,348523,,,,,,0.8244333946,
2000,10740,"Albuquerque, NM",16-19,765,17398,,,,,,1863,39933,,,,,,0.4356797636,
2000,10740,"Albuquerque, NM",20-24,1423,33247,,,,,,2078,48081,,,,,,0.6914789626,
2000,10740,"Albuquerque, NM",25-54,10327,235366,,,,,,13767,310497,,,,,,0.7580298682,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,791,17484,,,,,,1801,39424,,,,,,0.4434862013,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,1153,27552,,,,,,1662,40506,,,,,,0.6801955266,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,11725,259872,,,,,,14420,319915,,,,,,0.8123157714,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,4035,90984,,,,,,9665,216241,,,,,,0.4207527712,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,7960,192713,,,,,,11380,275223,,,,,,0.7002067414,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,68504,1594792,,,,,,86429,2009750,,,,,,0.7935275532,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,446,9587,,,,,,1187,25103,,,,,,0.381906545,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,785,17888,,,,,,1218,27325,,,,,,0.6546386093,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,6568,141049,,,,,,8800,188972,,,,,,0.7464015833,
2000,12420,"Austin-Round Rock, TX",16-19,1610,34046,,,,,,3851,79059,,,,,,0.4306404078,
2000,12420,"Austin-Round Rock, TX",20-24,3587,87344,,,,,,5180,125323,,,,,,0.6969510784,
2000,12420,"Austin-Round Rock, TX",25-54,22634,499449,,,,,,28056,617830,,,,,,0.8083922762,
2000,12540,"Bakersfield, CA",16-19,646,12681,,,,,,2101,41545,,,,,,0.305235287,
2000,12540,"Bakersfield, CA",20-24,1150,24738,,,,,,1974,41972,,,,,,0.5893929286,
2000,12540,"Bakersfield, CA",25-54,7923,164961,,,,,,12124,248786,,,,,,0.663063838,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,2476,54804,,,,,,5868,129309,,,,,,0.4238220077,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,4225,99859,,,,,,6010,142828,,,,,,0.6991556277,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,40508,885695,,,,,,50763,1115438,,,,,,0.7940333752,
2000,12940,"Baton Rouge, LA",16-19,821,17821,,,,,,2289,47636,,,,,,0.3741078176,
2000,12940,"Baton Rouge, LA",20-24,1632,40264,,,,,,2498,61068,,,,,,0.6593305823,
2000,12940,"Baton Rouge, LA",25-54,10101,222238,,,,,,13595,294917,,,,,,0.7535611714,
2000,13820,"Birmingham-Hoover, AL",16-19,885,18759,,,,,,2630,54072,,,,,,0.3469263205,
2000,13820,"Birmingham-Hoover, AL",20-24,1822,42015,,,,,,2825,64206,,,,,,0.6543780955,
2000,13820,"Birmingham-Hoover, AL",25-54,14964,327402,,,,,,20053,433561,,,,,,0.7551463347,
2000,14260,"Boise City, ID",16-19,482,12274,,,,,,984,24694,,,,,,0.4970438163,
2000,14260,"Boise City, ID",20-24,857,24605,,,,,,1127,32023,,,,,,0.7683539956,
2000,14260,"Boise City, ID",25-54,5729,154054,,,,,,6989,186940,,,,,,0.8240825933,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,4870,102628,,,,,,11047,228717,,,,,,0.4487117267,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,9017,199794,,,,,,12915,285770,,,,,,0.6991426672,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,78939,1686281,,,,,,97726,2084922,,,,,,0.8087981229,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,701,14860,,,,,,1920,39546,,,,,,0.375764932,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,1305,29045,,,,,,1950,43431,,,,,,0.6687619442,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",25-54,14976,310187,,,,,,19010,393300,,,,,,0.7886778541,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",16-19,1287,28423,,,,,,2795,63047,,,,,,0.4508224023,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",20-24,2046,47331,,,,,,2911,68933,,,,,,0.6866232429,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",25-54,17482,383038,,,,,,22377,490279,,,,,,0.7812653612,
2000,15980,"Cape Coral-Fort Myers, FL",16-19,437,8505,,,,,,830,16223,,,,,,0.5242556864,
2000,15980,"Cape Coral-Fort Myers, FL",20-24,706,14138,,,,,,958,19004,,,,,,0.7439486424,
2000,15980,"Cape Coral-Fort Myers, FL",25-54,6515,125104,,,,,,8274,159025,,,,,,0.7866939161,
2000,16700,"Charleston-North Charleston, SC",16-19,534,12694,,,,,,1498,34085,,,,,,0.3724218865,
2000,16700,"Charleston-North Charleston, SC",20-24,1055,26061,,,,,,1597,38920,,,,,,0.6696043165,
2000,16700,"Charleston-North Charleston, SC",25-54,8276,191692,,,,,,10916,251032,,,,,,0.763615794,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",16-19,1525,35496,,,,,,3507,80449,,,,,,0.4412236324,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",20-24,2971,73363,,,,,,4223,102765,,,,,,0.7138909162,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",25-54,25737,614822,,,,,,31993,761798,,,,,,0.8070669653,
2000,16860,"Chattanooga, TN-GA",16-19,500,10596,,,,,,1109,22708,,,,,,0.4666196935,
2000,16860,"Chattanooga, TN-GA",20-24,894,20999,,,,,,1287,29703,,,,,,0.7069656264,
2000,16860,"Chattanooga, TN-GA",25-54,6714,148437,,,,,,8558,188201,,,,,,0.7887152566,
2000,16980,"Chicago-Naperville-Elgin, IL-IN-WI",16-19,8701,201970,,,,,,20926,491030,,,,,,0.411319064,
2000,16980,"Chicago-Naperville-Elgin, IL-IN-WI",20-24,16142,406346,,,,,,23863,603753,,,,,,0.6730335087,
2000,16980,"Chicago-Naperville-Elgin, IL-IN-WI",25-54,128828,3076840,,,,,,168574,4042287,,,,,,0.7611631732,
2000,17140,"Cincinnati, OH-KY-IN",16-19,2565,55344,,,,,,5283,111509,,,,,,0.4963186828,
2000,17140,"Cincinnati, OH-KY-IN",20-24,4067,94825,,,,,,5620,129943,,,,,,0.7297430412,
2000,17140,"Cincinnati, OH-KY-IN",25-54,31095,677117,,,,,,38849,844815,,,,,,0.8014973692,
2000,17460,"Cleveland-Elyria, OH",16-19,2459,51070,,,,,,5339,110748,,,,,,0.4611369957,
2000,17460,"Cleveland-Elyria, OH",20-24,3844,83866,,,,,,5283,115147,,,,,,0.7283385585,
2000,17460,"Cleveland-Elyria, OH",25-54,34821,725889,,,,,,44185,922532,,,,,,0.7868442504,
2000,17820,"Colorado Springs, CO",16-19,648,13849,,,,,,1340,28296,,,,,,0.4894331354,
2000,17820,"Colorado Springs, CO",20-24,1037,22963,,,,,,1412,30950,,,,,,0.7419386107,
2000,17820,"Colorado Springs, CO",25-54,8338,177495,,,,,,10422,222303,,,,,,0.7984372681,
2000,17900,"Columbia, SC",16-19,581,13097,,,,,,1308,29501,,,,,,0.4439510525,
2000,17900,"Columbia, SC",20-24,1160,27885,,,,,,1646,40032,,,,,,0.6965677458,
2000,17900,"Columbia, SC",25-54,8562,190596,,,,,,10705,238801,,,,,,0.7981373612,
2000,18140,"Columbus, OH",16-19,1927,41062,,,,,,3945,85240,,,,,,0.4817221962,
2000,18140,"Columbus, OH",20-24,3835,88814,,,,,,5157,118664,,,,,,0.7484494034,
2000,18140,"Columbus, OH",25-54,26592,581295,,,,,,32604,711163,,,,,,0.8173864501,
2000,19100,"Dallas-Fort Worth-Arlington, TX",16-19,6133,128949,,,,,,14056,293231,,,,,,0.4397522772,
2000,19100,"Dallas-Fort Worth-Arlington, TX",20-24,11227,260311,,,,,,16060,370653,,,,,,0.702303772,
2000,19100,"Dallas-Fort Worth-Arlington, TX",25-54,85506,1861291,,,,,,109951,2393070,,,,,,0.7777837673,
2000,19380,"Dayton, OH",16-19,1096,22873,,,,,,2252,47813,,,,,,0.4783845398,
2000,19380,"Dayton, OH",20-24,1663,38191,,,,,,2379,54140,,,,,,0.7054118951,
2000,19380,"Dayton, OH",25-54,12011,268010,,,,,,15072,337969,,,,,,0.793001725,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",16-19,500,9975,,,,,,1125,21933,,,,,,0.4547941458,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",20-24,768,16377,,,,,,1131,23655,,,,,,0.6923272036,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",25-54,6446,130130,,,,,,8381,169454,,,,,,0.7679370213,
2000,19740,"Denver-Aurora-Lakewood, CO",16-19,2469,54459,,,,,,5094,111306,,,,,,0.4892728155,
2000,19740,"Denver-Aurora-Lakewood, CO",20-24,4524,104895,,,,,,5977,138303,,,,,,0.7584434177,
2000,19740,"Denver-Aurora-Lakewood, CO",25-54,37998,867290,,,,,,46578,1061447,,,,,,0.8170827182,
2000,19780,"Des Moines-West Des Moines, IA",16-19,380,11946,,,,,,664,20640,,,,,,0.5787790698,
2000,19780,"Des Moines-West Des Moines, IA",20-24,607,20597,,,,,,790,25783,,,,,,0.7988597138,
2000,19780,"Des Moines-West Des Moines, IA",25-54,4506,144126,,,,,,5326,170375,,,,,,0.8459339692,
2000,19820,"Detroit-Warren-Dearborn, MI",16-19,4077,103621,,,,,,8899,224807,,,,,,0.460933156,
2000,19820,"Detroit-Warren-Dearborn, MI",20-24,6523,175704,,,,,,9283,248431,,,,,,0.7072547307,
2000,19820,"Detroit-Warren-Dearborn, MI",25-54,59094,1516100,,,,,,77558,1991525,,,,,,0.7612759067,
2000,21340,"El Paso, TX",16-19,516,11529,,,,,,1962,44045,,,,,,0.2617550233,
2000,21340,"El Paso, TX",20-24,1065,25634,,,,,,1838,43713,,,,,,0.5864159403,
2000,21340,"El Paso, TX",25-54,7354,174434,,,,,,11418,267981,,,,,,0.6509192816,
2000,23420,"Fresno, CA",16-19,803,15977,,,,,,2728,54144,,,,,,0.2950834811,
2000,23420,"Fresno, CA",20-24,1718,36119,,,,,,2884,59940,,,,,,0.6025859193,
2000,23420,"Fresno, CA",25-54,10350,214182,,,,,,15555,320495,,,,,,0.6682849966,
2000,24340,"Grand Rapids-Wyoming, MI",16-19,1065,27885,,,,,,1960,50356,,,,,,0.5537572484,
2000,24340,"Grand Rapids-Wyoming, MI",20-24,1742,48691,,,,,,2206,61025,,,,,,0.7978861122,
2000,24340,"Grand Rapids-Wyoming, MI",25-54,10653,286195,,,,,,13002,349575,,,,,,0.8186941286,
2000,24660,"Greensboro-High Point, NC",16-19,774,17098,,,,,,1771,39061,,,,,,0.4377256087,
2000,24660,"Greensboro-High Point, NC",20-24,1479,33819,,,,,,2118,48578,,,,,,0.6961793404,
2000,24660,"Greensboro-High Point, NC",25-54,11611,251666,,,,,,14493,313777,,,,,,0.8020536878,
2000,24860,"Greenville-Anderson-Mauldin, SC",16-19,1058,22226,,,,,,2407,49583,,,,,,0.4482584757,
2000,24860,"Greenville-Anderson-Mauldin, SC",20-24,1945,40679,,,,,,2882,59820,,,,,,0.6800234035,
2000,24860,"Greenville-Anderson-Mauldin, SC",25-54,13397,287603,,,,,,17181,367810,,,,,,0.781933607,
