YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,RE,sample_n,EMP,var_n,se_n,cv_n,se2_n,moe_n,re_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ER,MOE_ER
2000,0,_US total,16-19,1,235090,4586748,,,,,,White,516618,9905781,,,,,,0.463037493,
2000,0,_US total,16-19,2,27943,615138,,,,,,Black,100564,2160900,,,,,,0.2846674997,
2000,0,_US total,16-19,3,43582,908617,,,,,,Latino,121067,2478519,,,,,,0.3665967459,
2000,0,_US total,16-19,4,8190,174631,,,,,,Asian,28835,605069,,,,,,0.2886133648,
2000,0,_US total,16-19,5,9506,191309,,,,,,Other,27511,525986,,,,,,0.3637150038,
2000,0,_US total,20-24,1,388393,8315513,,,,,,White,533924,11374513,,,,,,0.7310654091,
2000,0,_US total,20-24,2,56080,1317159,,,,,,Black,100456,2332671,,,,,,0.5646569962,
2000,0,_US total,20-24,3,93021,2022802,,,,,,Latino,150104,3263694,,,,,,0.6197891101,
2000,0,_US total,20-24,4,20017,441172,,,,,,Asian,36170,799091,,,,,,0.5520923149,
2000,0,_US total,20-24,5,17293,364080,,,,,,Other,27906,577873,,,,,,0.630034627,
2000,0,_US total,25-54,1,3428761,68236227,,,,,,White,4256364,84354493,,,,,,0.8089222586,
2000,0,_US total,25-54,2,417964,9457142,,,,,,Black,608464,13664995,,,,,,0.6920706521,
2000,0,_US total,25-54,3,441500,9428912,,,,,,Latino,682800,14583963,,,,,,0.6465260506,
2000,0,_US total,25-54,4,168801,3742637,,,,,,Asian,233563,5183880,,,,,,0.7219760102,
2000,0,_US total,25-54,5,100872,2040754,,,,,,Other,145285,2898582,,,,,,0.7040525333,
2000,10420,"Akron, OH",16-19,1,796,17950,,,,,,White,1501,33723,,,,,,0.532277674,
2000,10420,"Akron, OH",16-19,2,63,1545,,,,,,Black,210,4947,,,,,,0.3123104912,
2000,10420,"Akron, OH",16-19,3,10,181,,,,,,Latino,23,543,,,,,,0.3333333333,
2000,10420,"Akron, OH",16-19,4,13,309,,,,,,Asian,28,600,,,,,,0.515,
2000,10420,"Akron, OH",16-19,5,11,204,,,,,,Other,30,607,,,,,,0.3360790774,
2000,10420,"Akron, OH",20-24,1,1235,30326,,,,,,White,1538,37434,,,,,,0.810119143,
2000,10420,"Akron, OH",20-24,2,132,3386,,,,,,Black,217,5402,,,,,,0.6268048871,
2000,10420,"Akron, OH",20-24,3,14,273,,,,,,Latino,23,438,,,,,,0.6232876712,
2000,10420,"Akron, OH",20-24,4,17,347,,,,,,Asian,27,662,,,,,,0.5241691843,
2000,10420,"Akron, OH",20-24,5,16,334,,,,,,Other,30,670,,,,,,0.4985074627,
2000,10420,"Akron, OH",25-54,1,9409,213099,,,,,,White,11487,259705,,,,,,0.8205425386,
2000,10420,"Akron, OH",25-54,2,839,20114,,,,,,Black,1228,29265,,,,,,0.6873056552,
2000,10420,"Akron, OH",25-54,3,78,1747,,,,,,Latino,117,2685,,,,,,0.6506517691,
2000,10420,"Akron, OH",25-54,4,135,3163,,,,,,Asian,196,4685,,,,,,0.6751334045,
2000,10420,"Akron, OH",25-54,5,120,2624,,,,,,Other,178,3916,,,,,,0.6700715015,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,1,858,16985,,,,,,White,1921,36980,,,,,,0.4593023256,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,2,37,820,,,,,,Black,148,3334,,,,,,0.2459508098,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,3,21,447,,,,,,Latino,81,1588,,,,,,0.2814861461,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,4,18,443,,,,,,Asian,68,1569,,,,,,0.282345443,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,5,17,249,,,,,,Other,45,834,,,,,,0.2985611511,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,1,1279,28230,,,,,,White,1873,40639,,,,,,0.6946529196,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,2,84,1899,,,,,,Black,158,3700,,,,,,0.5132432432,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,3,47,1048,,,,,,Latino,81,1857,,,,,,0.5643511039,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,4,41,1012,,,,,,Asian,104,2352,,,,,,0.4302721088,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,5,33,711,,,,,,Other,52,1145,,,,,,0.6209606987,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,1,13060,259036,,,,,,White,15625,308718,,,,,,0.8390699603,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,2,604,13885,,,,,,Black,865,19737,,,,,,0.7035010387,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,3,236,5129,,,,,,Latino,330,7307,,,,,,0.7019296565,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,4,245,5877,,,,,,Asian,322,7801,,,,,,0.7533649532,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,5,165,3407,,,,,,Other,241,4960,,,,,,0.6868951613,
2000,10740,"Albuquerque, NM",16-19,1,319,7519,,,,,,White,681,15625,,,,,,0.481216,
2000,10740,"Albuquerque, NM",16-19,2,11,306,,,,,,Black,32,798,,,,,,0.3834586466,
2000,10740,"Albuquerque, NM",16-19,3,376,8311,,,,,,Latino,910,19753,,,,,,0.4207462158,
2000,10740,"Albuquerque, NM",16-19,4,8,213,,,,,,Asian,26,631,,,,,,0.3375594295,
2000,10740,"Albuquerque, NM",16-19,5,51,1049,,,,,,Other,214,3126,,,,,,0.3355726168,
2000,10740,"Albuquerque, NM",20-24,1,544,13281,,,,,,White,721,17540,,,,,,0.7571835804,
2000,10740,"Albuquerque, NM",20-24,2,33,845,,,,,,Black,47,1337,,,,,,0.6320119671,
2000,10740,"Albuquerque, NM",20-24,3,683,15890,,,,,,Latino,1008,23505,,,,,,0.6760263774,
2000,10740,"Albuquerque, NM",20-24,4,23,547,,,,,,Asian,36,894,,,,,,0.6118568233,
2000,10740,"Albuquerque, NM",20-24,5,140,2684,,,,,,Other,266,4805,,,,,,0.5585848075,
2000,10740,"Albuquerque, NM",25-54,1,5522,126517,,,,,,White,6811,156056,,,,,,0.8107153842,
2000,10740,"Albuquerque, NM",25-54,2,192,5279,,,,,,Black,240,6576,,,,,,0.8027676399,
2000,10740,"Albuquerque, NM",25-54,3,3686,85704,,,,,,Latino,5216,120911,,,,,,0.7088188833,
2000,10740,"Albuquerque, NM",25-54,4,175,4047,,,,,,Asian,249,5789,,,,,,0.6990844705,
2000,10740,"Albuquerque, NM",25-54,5,752,13819,,,,,,Other,1251,21165,,,,,,0.6529175526,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,1,710,15369,,,,,,White,1541,32749,,,,,,0.4692967724,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,2,11,257,,,,,,Black,44,1199,,,,,,0.2143452877,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,3,50,1356,,,,,,Latino,157,3947,,,,,,0.3435520649,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,4,11,200,,,,,,Asian,35,860,,,,,,0.2325581395,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,5,9,302,,,,,,Other,24,669,,,,,,0.4514200299,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,1,968,23003,,,,,,White,1368,33069,,,,,,0.6956061568,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,2,31,782,,,,,,Black,49,1266,,,,,,0.6176935229,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,3,108,2629,,,,,,Latino,170,4259,,,,,,0.6172810519,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,4,24,587,,,,,,Asian,41,1010,,,,,,0.5811881188,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,5,22,551,,,,,,Other,34,902,,,,,,0.610864745,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,1,10661,233969,,,,,,White,12864,281169,,,,,,0.8321294311,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,2,220,5206,,,,,,Black,305,7413,,,,,,0.7022797788,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,3,583,14103,,,,,,Latino,875,21963,,,,,,0.6421253927,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,4,151,3783,,,,,,Asian,221,5530,,,,,,0.6840867993,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,5,110,2811,,,,,,Other,155,3840,,,,,,0.73203125,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,1,2422,53220,,,,,,White,5189,113735,,,,,,0.4679298369,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,2,1025,24192,,,,,,Black,3096,71091,,,,,,0.34029624,
