YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,SEX,sample_n,EMP,var_n,se_n,cv_n,se2_n,moe_n,sex_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,ER,MOE_ER
2000,0,_US total,16-19,Male,163830,3274976,,,,,,Male,402664,7958369,,,,,,0.4115134646,
2000,0,_US total,16-19,Female,160481,3201467,,,,,,Female,391931,7717886,,,,,,0.4148113875,
2000,0,_US total,20-24,Male,298631,6480826,,,,,,Male,418573,9104096,,,,,,0.7118582669,
2000,0,_US total,20-24,Female,276173,5979900,,,,,,Female,429987,9243746,,,,,,0.6469130588,
2000,0,_US total,25-54,Male,2417357,49506644,,,,,,Male,2884391,59045395,,,,,,0.8384505515,
2000,0,_US total,25-54,Female,2140541,43399028,,,,,,Female,3042085,61640518,,,,,,0.7040665687,
2000,10420,"Akron, OH",16-19,Male,456,10459,,,,,,Male,917,21129,,,,,,0.4950068626,
2000,10420,"Akron, OH",16-19,Female,437,9730,,,,,,Female,875,19291,,,,,,0.504380281,
2000,10420,"Akron, OH",20-24,Male,689,16596,,,,,,Male,880,21309,,,,,,0.7788258482,
2000,10420,"Akron, OH",20-24,Female,725,18070,,,,,,Female,955,23297,,,,,,0.775636348,
2000,10420,"Akron, OH",25-54,Male,5598,128391,,,,,,Male,6397,146548,,,,,,0.876102028,
2000,10420,"Akron, OH",25-54,Female,4983,112356,,,,,,Female,6809,153708,,,,,,0.7309704114,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,Male,466,9456,,,,,,Male,1154,22771,,,,,,0.4152650301,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,Female,485,9488,,,,,,Female,1109,21534,,,,,,0.440605554,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,Male,739,16564,,,,,,Male,1121,25132,,,,,,0.6590800573,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,Female,745,16336,,,,,,Female,1147,24561,,,,,,0.6651194984,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,Male,7348,148266,,,,,,Male,8461,170065,,,,,,0.8718195984,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,Female,6962,139068,,,,,,Female,8922,178458,,,,,,0.779275796,
2000,10740,"Albuquerque, NM",16-19,Male,376,8657,,,,,,Male,914,19725,,,,,,0.4388846641,
2000,10740,"Albuquerque, NM",16-19,Female,389,8741,,,,,,Female,949,20208,,,,,,0.4325514648,
2000,10740,"Albuquerque, NM",20-24,Male,753,17730,,,,,,Male,1041,24361,,,,,,0.7278026354,
2000,10740,"Albuquerque, NM",20-24,Female,670,15517,,,,,,Female,1037,23720,,,,,,0.6541736931,
2000,10740,"Albuquerque, NM",25-54,Male,5408,123626,,,,,,Male,6653,149924,,,,,,0.8245911262,
2000,10740,"Albuquerque, NM",25-54,Female,4919,111740,,,,,,Female,7114,160573,,,,,,0.6958828695,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,Male,373,8422,,,,,,Male,898,19900,,,,,,0.4232160804,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,Female,418,9062,,,,,,Female,903,19524,,,,,,0.4641466913,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,Male,578,14135,,,,,,Male,827,20647,,,,,,0.68460309,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,Female,575,13417,,,,,,Female,835,19859,,,,,,0.6756130722,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,Male,6281,139284,,,,,,Male,7098,157764,,,,,,0.8828630106,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,Female,5444,120588,,,,,,Female,7322,162151,,,,,,0.7436771898,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,Male,2197,49715,,,,,,Male,5037,112227,,,,,,0.4429860907,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,Female,1838,41269,,,,,,Female,4628,104014,,,,,,0.3967638972,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,Male,4136,101247,,,,,,Male,5647,138308,,,,,,0.7320400844,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,Female,3824,91466,,,,,,Female,5733,136915,,,,,,0.6680495198,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,Male,36472,855156,,,,,,Male,41925,984867,,,,,,0.8682959222,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,Female,32032,739636,,,,,,Female,44504,1024883,,,,,,0.7216784745,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,Male,217,4813,,,,,,Male,537,11624,,,,,,0.4140571232,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,Female,229,4774,,,,,,Female,650,13479,,,,,,0.3541805772,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,Male,399,9052,,,,,,Male,585,13251,,,,,,0.6831182552,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,Female,386,8836,,,,,,Female,633,14074,,,,,,0.627824357,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,Male,3336,72103,,,,,,Male,4055,87919,,,,,,0.8201071441,
