YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,ed_recode,sample_n,UNEMP,var_n,se_n,cv_n,se2_n,moe_n,ed_label,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,UR,MOE_UR
2000,0,_US total,16-19,0,50974,1028818,,,,,,InSch,288875,5780677,,,,,,0.1779753479,
2000,0,_US total,16-19,1,12847,257860,,,,,,LTHS,47346,950129,,,,,,0.2713947264,
2000,0,_US total,16-19,2,8541,170864,,,,,,HS,51631,1022124,,,,,,0.1671656277,
2000,0,_US total,16-19,3,1224,24651,,,,,,SC,9608,196829,,,,,,0.1252406912,
2000,0,_US total,16-19,4,34,827,,,,,,AA,374,7516,,,,,,0.1100319319,
2000,0,_US total,16-19,5,10,222,,,,,,BA+,107,2410,,,,,,0.0921161826,
2000,0,_US total,20-24,0,22079,482925,,,,,,InSch,201303,4514054,,,,,,0.1069825483,
2000,0,_US total,20-24,1,17211,366582,,,,,,LTHS,97448,2063008,,,,,,0.177692961,
2000,0,_US total,20-24,2,18939,392252,,,,,,HS,170407,3526975,,,,,,0.1112148513,
2000,0,_US total,20-24,3,7351,159229,,,,,,SC,98992,2139843,,,,,,0.0744115339,
2000,0,_US total,20-24,4,1006,20744,,,,,,AA,21418,440258,,,,,,0.0471178264,
2000,0,_US total,20-24,5,2041,46095,,,,,,BA+,53863,1244415,,,,,,0.0370415014,
2000,0,_US total,25-54,0,14745,312016,,,,,,InSch,301384,6450392,,,,,,0.0483716338,
2000,0,_US total,25-54,1,57380,1162906,,,,,,LTHS,549792,11031125,,,,,,0.1054204354,
2000,0,_US total,25-54,2,66995,1309297,,,,,,HS,1298194,25107137,,,,,,0.0521483991,
2000,0,_US total,25-54,3,38080,778980,,,,,,SC,1017883,20750601,,,,,,0.0375401175,
2000,0,_US total,25-54,4,9601,195028,,,,,,AA,351476,7094573,,,,,,0.0274897446,
2000,0,_US total,25-54,5,22832,492720,,,,,,BA+,1248802,26722791,,,,,,0.0184381938,
2000,10420,"Akron, OH",16-19,0,113,2604,,,,,,InSch,806,18442,,,,,,0.1411994361,
