YEAR,Assigned_CBSA,Assigned_CBSATitle,age_recode,sample_n,UNEMP,var_n,se_n,cv_n,se2_n,moe_n,sample_d,denom,var_d,se_d,cv_d,se2_d,moe_d,UR,MOE_UR
2000,0,_US total,16-19,73630,1483242,,,,,,397941,7959685,,,,,,0.1863443089,
2000,0,_US total,20-24,68627,1467827,,,,,,643431,13928553,,,,,,0.1053825907,
2000,0,_US total,25-54,209633,4250947,,,,,,4767531,97156619,,,,,,0.0437535501,
2000,10420,"Akron, OH",16-19,153,3578,,,,,,1046,23767,,,,,,0.1505448731,
2000,10420,"Akron, OH",20-24,117,2809,,,,,,1531,37475,,,,,,0.0749566378,
2000,10420,"Akron, OH",25-54,433,9802,,,,,,11014,250549,,,,,,0.0391220879,
2000,10580,"Albany-Schenectady-Troy, NY",16-19,346,6999,,,,,,1297,25943,,,,,,0.2697837567,
2000,10580,"Albany-Schenectady-Troy, NY",20-24,233,4795,,,,,,1717,37695,,,,,,0.1272051996,
2000,10580,"Albany-Schenectady-Troy, NY",25-54,542,10291,,,,,,14852,297625,,,,,,0.0345770685,
2000,10740,"Albuquerque, NM",16-19,186,4026,,,,,,951,21424,,,,,,0.1879200896,
2000,10740,"Albuquerque, NM",20-24,154,3669,,,,,,1577,36916,,,,,,0.0993877993,
2000,10740,"Albuquerque, NM",25-54,511,10891,,,,,,10838,246257,,,,,,0.044226154,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",16-19,173,3774,,,,,,964,21258,,,,,,0.177533164,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",20-24,131,3193,,,,,,1284,30745,,,,,,0.1038542852,
2000,10900,"Allentown-Bethlehem-Easton, PA-NJ",25-54,367,8049,,,,,,12092,267921,,,,,,0.0300424379,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",16-19,924,20143,,,,,,4959,111127,,,,,,0.1812610797,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",20-24,954,22628,,,,,,8914,215341,,,,,,0.1050798501,
2000,12060,"Atlanta-Sandy Springs-Roswell, GA",25-54,2478,58612,,,,,,70982,1653404,,,,,,0.0354492913,
2000,12260,"Augusta-Richmond County, GA-SC",16-19,123,2504,,,,,,569,12091,,,,,,0.2070961872,
2000,12260,"Augusta-Richmond County, GA-SC",20-24,125,2717,,,,,,910,20605,,,,,,0.1318611987,
2000,12260,"Augusta-Richmond County, GA-SC",25-54,338,7283,,,,,,6906,148332,,,,,,0.0490993177,
2000,12420,"Austin-Round Rock, TX",16-19,293,6164,,,,,,1903,40210,,,,,,0.1532952002,
2000,12420,"Austin-Round Rock, TX",20-24,309,7222,,,,,,3896,94566,,,,,,0.0763699427,
2000,12420,"Austin-Round Rock, TX",25-54,593,13068,,,,,,23227,512517,,,,,,0.0254976908,
2000,12540,"Bakersfield, CA",16-19,249,4970,,,,,,895,17651,,,,,,0.2815704493,
2000,12540,"Bakersfield, CA",20-24,250,5302,,,,,,1400,30040,,,,,,0.1764980027,
2000,12540,"Bakersfield, CA",25-54,900,17943,,,,,,8823,182904,,,,,,0.098100643,
2000,12580,"Baltimore-Columbia-Towson, MD",16-19,548,12483,,,,,,3024,67287,,,,,,0.185518748,
2000,12580,"Baltimore-Columbia-Towson, MD",20-24,446,10026,,,,,,4671,109885,,,,,,0.0912408427,
2000,12580,"Baltimore-Columbia-Towson, MD",25-54,1569,36073,,,,,,42077,921768,,,,,,0.0391345762,
2000,12940,"Baton Rouge, LA",16-19,232,4957,,,,,,1053,22778,,,,,,0.2176222671,
2000,12940,"Baton Rouge, LA",20-24,181,4463,,,,,,1813,44727,,,,,,0.0997831288,
2000,12940,"Baton Rouge, LA",25-54,509,10942,,,,,,10610,233180,,,,,,0.0469251222,
2000,13820,"Birmingham-Hoover, AL",16-19,240,4724,,,,,,1125,23483,,,,,,0.2011668015,
2000,13820,"Birmingham-Hoover, AL",20-24,262,5731,,,,,,2084,47746,,,,,,0.1200309974,
2000,13820,"Birmingham-Hoover, AL",25-54,656,13689,,,,,,15620,341091,,,,,,0.040132985,
2000,14260,"Boise City, ID",16-19,80,1897,,,,,,562,14171,,,,,,0.1338649354,
2000,14260,"Boise City, ID",20-24,66,1916,,,,,,923,26521,,,,,,0.0722446363,
2000,14260,"Boise City, ID",25-54,206,5234,,,,,,5935,159288,,,,,,0.0328587213,
2000,14460,"Boston-Cambridge-Newton, MA-NH",16-19,819,17024,,,,,,5689,119652,,,,,,0.1422792766,
2000,14460,"Boston-Cambridge-Newton, MA-NH",20-24,821,18211,,,,,,9838,218005,,,,,,0.0835347813,
2000,14460,"Boston-Cambridge-Newton, MA-NH",25-54,2587,54821,,,,,,81526,1741102,,,,,,0.0314863805,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",16-19,172,3610,,,,,,873,18470,,,,,,0.1954520845,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",20-24,189,3953,,,,,,1494,32998,,,,,,0.1197951391,
2000,14860,"Bridgeport-Stamford-Norwalk, CT",25-54,538,11312,,,,,,15514,321499,,,,,,0.0351851794,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",16-19,359,9223,,,,,,1646,37646,,,,,,0.2449928279,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",20-24,305,8436,,,,,,2351,55767,,,,,,0.1512722578,
2000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",25-54,927,20539,,,,,,18409,403577,,,,,,0.0508923948,
2000,15980,"Cape Coral-Fort Myers, FL",16-19,53,1187,,,,,,490,9692,,,,,,0.122472142,
2000,15980,"Cape Coral-Fort Myers, FL",20-24,69,1300,,,,,,775,15438,,,,,,0.0842077989,
2000,15980,"Cape Coral-Fort Myers, FL",25-54,231,4444,,,,,,6746,129548,,,,,,0.0343038874,
2000,16700,"Charleston-North Charleston, SC",16-19,136,3127,,,,,,670,15821,,,,,,0.1976486948,
2000,16700,"Charleston-North Charleston, SC",20-24,105,2578,,,,,,1160,28639,,,,,,0.0900171095,
2000,16700,"Charleston-North Charleston, SC",25-54,364,8363,,,,,,8640,200055,,,,,,0.041803504,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",16-19,401,8744,,,,,,1926,44240,,,,,,0.1976491863,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",20-24,441,9579,,,,,,3412,82942,,,,,,0.1154903426,
2000,16740,"Charlotte-Concord-Gastonia, NC-SC",25-54,893,20686,,,,,,26630,635508,,,,,,0.0325503377,
2000,16860,"Chattanooga, TN-GA",16-19,102,2001,,,,,,602,12597,,,,,,0.1588473446,
2000,16860,"Chattanooga, TN-GA",20-24,122,2393,,,,,,1016,23392,,,,,,0.1022999316,
2000,16860,"Chattanooga, TN-GA",25-54,242,5274,,,,,,6956,153711,,,,,,0.0343111423,
2000,16980,"Chicago-Naperville-Elgin, IL-IN-WI",16-19,2030,48513,,,,,,10731,250483,,,,,,0.1936778145,
2000,16980,"Chicago-Naperville-Elgin, IL-IN-WI",20-24,1990,51334,,,,,,18132,457680,,,,,,0.1121613354,
2000,16980,"Chicago-Naperville-Elgin, IL-IN-WI",25-54,6633,163248,,,,,,135461,3240088,,,,,,0.0503838167,
2000,17140,"Cincinnati, OH-KY-IN",16-19,413,8740,,,,,,2978,64084,,,,,,0.1363834967,
2000,17140,"Cincinnati, OH-KY-IN",20-24,356,7871,,,,,,4423,102696,,,,,,0.0766436862,
2000,17140,"Cincinnati, OH-KY-IN",25-54,1027,21957,,,,,,32122,699074,,,,,,0.0314086921,
2000,17460,"Cleveland-Elyria, OH",16-19,486,10305,,,,,,2945,61375,,,,,,0.1679022403,
2000,17460,"Cleveland-Elyria, OH",20-24,437,9296,,,,,,4281,93162,,,,,,0.0997831734,
2000,17460,"Cleveland-Elyria, OH",25-54,1513,31742,,,,,,36334,757631,,,,,,0.0418963849,
2000,17820,"Colorado Springs, CO",16-19,130,2726,,,,,,778,16575,,,,,,0.1644645551,
2000,17820,"Colorado Springs, CO",20-24,86,2030,,,,,,1123,24993,,,,,,0.0812227424,
2000,17820,"Colorado Springs, CO",25-54,264,5737,,,,,,8602,183232,,,,,,0.0313100332,
2000,17900,"Columbia, SC",16-19,129,3036,,,,,,710,16133,,,,,,0.1881857063,
2000,17900,"Columbia, SC",20-24,134,3338,,,,,,1294,31223,,,,,,0.1069083688,
2000,17900,"Columbia, SC",25-54,320,7442,,,,,,8882,198038,,,,,,0.0375786465,
2000,18140,"Columbus, OH",16-19,318,6697,,,,,,2245,47759,,,,,,0.1402248791,
2000,18140,"Columbus, OH",20-24,317,6883,,,,,,4152,95697,,,,,,0.0719249297,
2000,18140,"Columbus, OH",25-54,803,17253,,,,,,27395,598548,,,,,,0.0288247559,
2000,19100,"Dallas-Fort Worth-Arlington, TX",16-19,1213,25965,,,,,,7346,154914,,,,,,0.1676091251,
2000,19100,"Dallas-Fort Worth-Arlington, TX",20-24,1004,23535,,,,,,12231,283846,,,,,,0.0829146791,
2000,19100,"Dallas-Fort Worth-Arlington, TX",25-54,3203,70711,,,,,,88709,1932002,,,,,,0.0365998586,
2000,19380,"Dayton, OH",16-19,201,4442,,,,,,1297,27315,,,,,,0.1626212704,
2000,19380,"Dayton, OH",20-24,200,4338,,,,,,1863,42529,,,,,,0.1020009876,
2000,19380,"Dayton, OH",25-54,456,9985,,,,,,12467,277995,,,,,,0.0359179122,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",16-19,133,2761,,,,,,633,12736,,,,,,0.2167870603,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",20-24,121,2464,,,,,,889,18841,,,,,,0.1307786211,
2000,19660,"Deltona-Daytona Beach-Ormond Beach, FL",25-54,244,5249,,,,,,6690,135379,,,,,,0.0387726309,
2000,19740,"Denver-Aurora-Lakewood, CO",16-19,439,9452,,,,,,2908,63911,,,,,,0.1478931639,
2000,19740,"Denver-Aurora-Lakewood, CO",20-24,282,6507,,,,,,4806,111402,,,,,,0.0584100824,
2000,19740,"Denver-Aurora-Lakewood, CO",25-54,1166,26109,,,,,,39164,893399,,,,,,0.0292243443,
2000,19780,"Des Moines-West Des Moines, IA",16-19,64,1766,,,,,,444,13712,,,,,,0.1287922987,
2000,19780,"Des Moines-West Des Moines, IA",20-24,72,1925,,,,,,679,22522,,,,,,0.085471983,
